step	subtask	stage
0	Move to cube	0
1	Move to cube	0
2	Move to cube	0
3	Move to cube	0
4	Move to cube	0
5	Move to cube	0
6	Move to cube	0
7	Move to cube	0
8	Move to cube	0
9	Move to cube	0
10	Move to cube	0
11	Move to cube	0
12	Move to cube	0
13	Move to cube	0
14	Move to cube	0
15	Move to cube	0
16	Move to cube	0
17	Move to cube	0
18	Move to cube	0
19	Move to cube	0
20	Move to cube	0
21	Move to cube	0
22	Move to cube	0
23	Move to cube	0
24	Move to cube	0
25	Move to cube	0
26	Move to cube	0
27	Move to cube	0
28	Move to cube	0
29	Move to cube	0
30	Grasp Cube	1
31	Grasp Cube	1
32	Lift Cube	2
33	Lift Cube	2
34	Lift Cube	2
35	Lift Cube	2
36	Lift Cube	2
37	Lift Cube	2
38	Lift Cube	2
39	Lift Cube	2
40	Lift Cube	2
41	Lift Cube	2
42	Lift Cube	2
43	Lift Cube	2
44	Lift Cube	2
45	Lift Cube	2
46	Lift Cube	2
47	Lift Cube	2
48	Lift Cube	2
49	Lift Cube	2
