step	subtask	stage
0	Move to above Cube A	0
1	Move to above Cube A	0
2	Move to above Cube A	0
3	Move to above Cube A	0
4	Move to above Cube A	0
5	Move to above Cube A	0
6	Move to above Cube A	0
7	Move to above Cube A	0
8	Move to above Cube A	0
9	Move to above Cube A	0
10	Move to above Cube A	0
11	Move to above Cube A	0
12	Move directly down to Cube A	1
13	Move directly down to Cube A	1
14	Move directly down to Cube A	1
15	Move directly down to Cube A	1
16	Move directly down to Cube A	1
17	Move directly down to Cube A	1
18	Move directly down to Cube A	1
19	Move directly down to Cube A	1
20	Move directly down to Cube A	1
21	Move directly down to Cube A	1
22	Move directly down to Cube A	1
23	Move directly down to Cube A	1
24	Grasp Cube A	2
25	Grasp Cube A	2
26	Vertically pick up Cube A	3
27	Vertically pick up Cube A	3
28	Vertically pick up Cube A	3
29	Vertically pick up Cube A	3
30	Vertically pick up Cube A	3
31	Vertically pick up Cube A	3
32	Vertically pick up Cube A	3
33	Vertically pick up Cube A	3
34	Vertically pick up Cube A	3
35	Vertically pick up Cube A	3
36	Vertically pick up Cube A	3
37	Vertically pick up Cube A	3
38	Vertically pick up Cube A	3
39	Vertically pick up Cube A	3
40	Align Cube A with Cube B	4
41	Align Cube A with Cube B	4
42	Align Cube A with Cube B	4
43	Align Cube A with Cube B	4
44	Align Cube A with Cube B	4
45	Align Cube A with Cube B	4
46	Align Cube A with Cube B	4
47	Align Cube A with Cube B	4
48	Align Cube A with Cube B	4
49	Align Cube A with Cube B	4
50	Move Cube A vertically down to Cube B	5
51	Move Cube A vertically down to Cube B	5
52	Move Cube A vertically down to Cube B	5
53	Move Cube A vertically down to Cube B	5
54	Move Cube A vertically down to Cube B	5
55	Release Cube A onto Cube B	6
56	Release Cube A onto Cube B	6
57	Release Cube A onto Cube B	6
58	Release Cube A onto Cube B	6
59	Return Home	7
60	Return Home	7
61	Return Home	7
62	Return Home	7
63	Return Home	7
64	Return Home	7
65	Return Home	7
66	Return Home	7
67	Return Home	7
68	Return Home	7
69	Return Home	7
70	Return Home	7
71	Return Home	7
72	Return Home	7
73	Return Home	7
74	Return Home	7
75	Return Home	7
76	Return Home	7
77	Return Home	7
78	Return Home	7
79	Return Home	7
