step	action	robot0_eef_pos	cube_pos	gripper_to_cube_pos
0	[1.71, 1.8, -1.94, 0.0, 0.0, 0.0, -1.0]	[-0.09, -0.01, 1.0]	[0.07, 0.15, 0.82]	[-0.16, -0.17, 0.18]
1	[1.55, 1.66, -1.77, 0.0, 0.0, 0.0, -1.0]	[-0.06, 0.0, 0.97]	[0.07, 0.15, 0.82]	[-0.13, -0.15, 0.15]
2	[1.34, 1.49, -1.51, 0.0, 0.0, 0.0, -1.0]	[-0.04, 0.02, 0.95]	[0.07, 0.15, 0.82]	[-0.11, -0.13, 0.13]
3	[1.13, 1.3, -1.26, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.04, 0.92]	[0.07, 0.15, 0.82]	[-0.09, -0.11, 0.1]
4	[0.92, 1.09, -1.01, 0.0, 0.0, 0.0, -1.0]	[-0.0, 0.07, 0.9]	[0.07, 0.15, 0.82]	[-0.07, -0.09, 0.08]
5	[0.73, 0.87, -0.75, 0.0, 0.0, 0.0, -1.0]	[0.01, 0.09, 0.88]	[0.07, 0.15, 0.82]	[-0.06, -0.06, 0.05]
6	[0.58, 0.64, -0.54, 0.0, 0.0, 0.0, -1.0]	[0.02, 0.11, 0.86]	[0.07, 0.15, 0.82]	[-0.05, -0.04, 0.04]
7	[0.47, 0.44, -0.39, 0.0, 0.0, 0.0, -1.0]	[0.03, 0.13, 0.85]	[0.07, 0.15, 0.82]	[-0.04, -0.03, 0.03]
8	[0.38, 0.27, -0.28, 0.0, 0.0, 0.0, -1.0]	[0.04, 0.14, 0.84]	[0.07, 0.15, 0.82]	[-0.03, -0.02, 0.02]
9	[0.3, 0.15, -0.2, 0.0, 0.0, 0.0, -1.0]	[0.04, 0.15, 0.84]	[0.07, 0.15, 0.82]	[-0.02, -0.01, 0.01]
10	[0.24, 0.07, -0.15, 0.0, 0.0, 0.0, -1.0]	[0.05, 0.15, 0.83]	[0.07, 0.15, 0.82]	[-0.02, -0.0, 0.01]
11	[0.19, 0.02, -0.11, 0.0, 0.0, 0.0, -1.0]	[0.05, 0.15, 0.83]	[0.07, 0.15, 0.82]	[-0.01, 0.0, 0.01]
12	[0.14, -0.0, -0.08, 0.0, 0.0, 0.0, -1.0]	[0.06, 0.15, 0.83]	[0.07, 0.15, 0.82]	[-0.01, 0.0, 0.01]
13	[0.11, -0.01, -0.06, 0.0, 0.0, 0.0, -1.0]	[0.06, 0.15, 0.83]	[0.07, 0.15, 0.82]	[-0.01, 0.0, 0.01]
14	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.06, 0.15, 0.83]	[0.07, 0.15, 0.82]	[-0.01, 0.0, 0.01]
