step	action	robot0_eef_pos	Can_pos	Can_to_robot0_eef_pos
0	[1.52, -2.54, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.11, 1.02]	[0.12, -0.35, 0.86]	[0.1, 0.24, 0.18]
1	[1.37, -2.41, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.0, -0.12, 1.02]	[0.12, -0.35, 0.86]	[0.08, 0.22, 0.18]
2	[1.18, -2.23, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.14, 1.01]	[0.12, -0.35, 0.86]	[0.06, 0.2, 0.17]
3	[0.97, -2.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.17, 1.01]	[0.12, -0.35, 0.86]	[0.04, 0.18, 0.17]
4	[0.76, -1.81, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, -0.19, 1.01]	[0.12, -0.35, 0.86]	[0.03, 0.16, 0.16]
5	[0.59, -1.57, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.22, 1.01]	[0.12, -0.35, 0.86]	[0.01, 0.13, 0.16]
6	[0.45, -1.32, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.09, -0.24, 1.01]	[0.12, -0.35, 0.86]	[0.0, 0.11, 0.16]
7	[0.34, -1.07, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.1, -0.27, 1.01]	[0.12, -0.35, 0.86]	[-0.0, 0.08, 0.15]
8	[0.25, -0.82, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.1, -0.29, 1.01]	[0.12, -0.35, 0.86]	[-0.01, 0.06, 0.15]
9	[0.19, -0.61, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.11, -0.3, 1.01]	[0.12, -0.35, 0.86]	[-0.01, 0.04, 0.15]
10	[0.14, -0.44, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.11, -0.32, 1.01]	[0.12, -0.35, 0.86]	[-0.02, 0.03, 0.15]
11	[0.1, -0.31, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.11, -0.33, 1.02]	[0.12, -0.35, 0.86]	[-0.02, 0.02, 0.15]
12	[0.07, -0.21, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.12, -0.33, 1.02]	[0.12, -0.35, 0.86]	[-0.02, 0.01, 0.15]
13	[0.05, -0.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.12, -0.34, 1.02]	[0.12, -0.35, 0.86]	[-0.02, 0.01, 0.16]
14	[0.03, -0.1, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.12, -0.34, 1.02]	[0.12, -0.35, 0.86]	[-0.02, 0.01, 0.16]
15	[0.02, -0.07, -1.42, 0.0, 0.0, 0.0, -1.0]	[0.12, -0.34, 1.0]	[0.12, -0.35, 0.86]	[-0.02, 0.01, 0.14]
16	[0.0, -0.06, -1.26, 0.0, 0.0, 0.0, -1.0]	[0.12, -0.34, 0.98]	[0.12, -0.35, 0.86]	[-0.02, 0.0, 0.12]
17	[-0.01, -0.05, -1.03, 0.0, 0.0, 0.0, -1.0]	[0.12, -0.34, 0.96]	[0.12, -0.35, 0.86]	[-0.02, 0.0, 0.09]
18	[-0.01, -0.05, -0.8, 0.0, 0.0, 0.0, -1.0]	[0.12, -0.34, 0.94]	[0.12, -0.35, 0.86]	[-0.01, 0.0, 0.07]
19	[-0.01, -0.04, -0.6, 0.0, 0.0, 0.0, -1.0]	[0.12, -0.34, 0.92]	[0.12, -0.35, 0.86]	[-0.01, 0.0, 0.06]
20	[0.0, -0.03, -0.45, 0.0, 0.0, 0.0, -1.0]	[0.12, -0.35, 0.91]	[0.12, -0.35, 0.86]	[-0.01, 0.0, 0.05]
