step	action	robot0_eef_pos	nut0_pos	nut1_pos
0	[0.14, 0.08, -0.16, 0.02, 0.12, -0.06, -1.0]	[-0.1, 0.01, 1.01]	[-0.11, 0.12, 0.89]	[10.0, 10.0, 10.0]
1	[-0.01, 0.24, -0.11, 0.03, 0.12, -0.09, -1.0]	[-0.1, 0.01, 1.01]	[-0.11, 0.12, 0.88]	[10.0, 10.0, 9.99]
2	[0.08, 0.36, -0.04, 0.04, 0.13, -0.13, -1.0]	[-0.1, 0.01, 1.0]	[-0.11, 0.12, 0.84]	[10.0, 10.0, 9.95]
3	[0.06, 0.45, -0.06, 0.04, 0.13, -0.18, -1.0]	[-0.1, 0.01, 1.0]	[-0.11, 0.12, 0.82]	[10.0, 10.0, 9.89]
4	[0.15, 0.47, -0.26, 0.05, 0.11, -0.24, -1.0]	[-0.1, 0.02, 1.0]	[-0.11, 0.12, 0.83]	[10.0, 10.0, 9.81]
5	[0.22, 0.32, -0.58, 0.04, 0.07, -0.3, -1.0]	[-0.1, 0.02, 1.0]	[-0.11, 0.12, 0.83]	[10.0, 10.0, 9.7]
6	[0.35, 0.36, -0.68, 0.0, 0.03, -0.37, -1.0]	[-0.1, 0.02, 0.99]	[-0.11, 0.12, 0.83]	[10.0, 10.0, 9.58]
7	[0.46, 0.5, -0.62, -0.0, 0.01, -0.46, -1.0]	[-0.09, 0.03, 0.99]	[-0.11, 0.12, 0.83]	[10.0, 10.0, 9.44]
8	[0.06, 0.2, -0.24, 0.01, 0.04, -0.48, -1.0]	[-0.09, 0.03, 0.98]	[-0.11, 0.12, 0.83]	[10.0, 10.0, 9.28]
9	[0.1, 0.27, -0.12, 0.06, 0.06, -0.49, -1.0]	[-0.08, 0.03, 0.97]	[-0.11, 0.12, 0.83]	[10.0, 10.0, 9.11]
10	[0.19, 0.32, -0.31, 0.06, 0.06, -0.51, -1.0]	[-0.08, 0.04, 0.97]	[-0.11, 0.12, 0.83]	[10.0, 10.0, 8.93]
11	[0.19, 0.21, -0.46, 0.04, 0.04, -0.53, -1.0]	[-0.08, 0.04, 0.97]	[-0.11, 0.12, 0.83]	[10.0, 10.0, 8.74]
