step	action	robot0_eef_pos	tool_pos	frame_pos	stand_pos
0	[0.0, 0.0, 0.0, 0.03, 0.06, 1.0, -1.0]	[-0.1, 0.01, 1.02]	[0.03, -0.2, 0.84]	[-0.02, -0.26, 0.84]	[-0.08, 0.0, 0.88]
1	[-0.37, -0.06, 0.02, 0.02, 0.13, -0.14, -1.0]	[-0.11, 0.02, 1.02]	[0.03, -0.2, 0.83]	[-0.02, -0.26, 0.83]	[-0.08, 0.0, 0.88]
2	[-0.06, -0.47, -0.09, 0.02, 0.13, -0.13, -1.0]	[-0.11, 0.02, 1.02]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
3	[-0.69, -0.63, -0.02, 0.01, 0.13, -0.09, -1.0]	[-0.11, 0.02, 1.01]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
4	[-0.03, -0.92, 0.04, 0.01, 0.14, -0.04, -1.0]	[-0.12, 0.01, 1.01]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
5	[-0.66, -0.93, 0.0, 0.0, 0.14, 0.03, -1.0]	[-0.12, 0.0, 1.01]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
6	[0.06, -1.0, -0.2, -0.01, 0.14, 0.1, -1.0]	[-0.13, -0.01, 1.01]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
7	[-0.4, -1.0, -0.44, -0.04, 0.13, 0.16, -1.0]	[-0.13, -0.02, 1.01]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
8	[0.2, -0.93, -0.16, -0.07, 0.14, 0.2, -1.0]	[-0.14, -0.03, 1.01]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
9	[-0.39, -0.77, -0.31, -0.07, 0.14, 0.22, -1.0]	[-0.14, -0.04, 1.0]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
10	[0.1, -0.78, -0.29, -0.1, 0.12, 0.25, -1.0]	[-0.14, -0.06, 1.0]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
11	[-0.26, -0.87, -0.31, -0.1, 0.11, 0.28, -1.0]	[-0.14, -0.07, 1.0]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
12	[0.22, -0.91, -0.25, -0.1, 0.09, 0.32, -1.0]	[-0.15, -0.08, 0.99]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
13	[-0.05, -0.94, -0.39, -0.08, 0.07, 0.35, -1.0]	[-0.15, -0.09, 0.99]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
14	[0.54, -0.9, -0.36, -0.04, 0.05, 0.37, -1.0]	[-0.15, -0.1, 0.98]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
15	[0.26, -0.91, -0.3, -0.02, 0.06, 0.4, -1.0]	[-0.14, -0.11, 0.98]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
16	[0.77, -0.94, 0.01, -0.01, 0.1, 0.42, -1.0]	[-0.14, -0.12, 0.97]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
17	[0.16, -1.0, -0.22, -0.01, 0.13, 0.42, -1.0]	[-0.13, -0.13, 0.97]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
18	[0.57, -0.87, -0.3, -0.02, 0.11, 0.42, -1.0]	[-0.13, -0.15, 0.97]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
19	[0.09, -1.0, -0.41, -0.01, 0.11, 0.41, -1.0]	[-0.13, -0.16, 0.96]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
20	[0.48, -0.84, -0.5, -0.01, 0.09, 0.41, -1.0]	[-0.12, -0.17, 0.96]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
21	[0.22, -0.59, -0.68, -0.0, 0.05, 0.4, -1.0]	[-0.12, -0.18, 0.95]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
22	[0.49, -0.74, -0.57, 0.01, 0.04, 0.39, -1.0]	[-0.12, -0.19, 0.94]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
23	[0.29, -0.39, -0.7, 0.02, 0.03, 0.38, -1.0]	[-0.11, -0.2, 0.94]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
24	[0.49, -0.57, -0.47, 0.03, 0.03, 0.37, -1.0]	[-0.11, -0.21, 0.93]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
25	[0.32, -0.22, -0.43, 0.03, 0.02, 0.36, -1.0]	[-0.1, -0.21, 0.92]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
26	[0.35, -0.45, -0.36, 0.03, 0.01, 0.34, -1.0]	[-0.1, -0.22, 0.91]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
27	[0.15, -0.04, -0.27, 0.03, -0.01, 0.32, -1.0]	[-0.09, -0.22, 0.91]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
28	[0.32, -0.42, -0.4, 0.03, -0.01, 0.3, -1.0]	[-0.09, -0.23, 0.9]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
29	[0.07, -0.06, -0.28, 0.03, -0.01, 0.28, -1.0]	[-0.08, -0.23, 0.9]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
30	[0.14, -0.3, -0.32, 0.03, -0.01, 0.25, -1.0]	[-0.08, -0.23, 0.9]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
31	[-0.03, 0.05, -0.15, 0.03, -0.02, 0.23, -1.0]	[-0.08, -0.24, 0.89]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
32	[0.15, -0.18, -0.23, 0.03, -0.02, 0.21, -1.0]	[-0.08, -0.24, 0.89]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
33	[0.01, 0.16, -0.04, 0.03, -0.01, 0.19, -1.0]	[-0.08, -0.24, 0.89]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
34	[0.16, -0.12, -0.19, 0.02, -0.02, 0.18, -1.0]	[-0.08, -0.24, 0.89]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
35	[0.05, 0.0, -0.16, 0.02, -0.02, 0.16, -1.0]	[-0.07, -0.24, 0.88]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
36	[0.02, -0.13, -0.27, 0.02, -0.02, 0.14, -1.0]	[-0.07, -0.24, 0.88]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
37	[-0.02, -0.11, -0.34, 0.02, -0.02, 0.12, -1.0]	[-0.07, -0.25, 0.88]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
38	[0.03, -0.1, -0.31, 0.02, -0.02, 0.11, -1.0]	[-0.07, -0.25, 0.88]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
39	[-0.06, -0.08, -0.34, 0.03, -0.02, 0.09, -1.0]	[-0.07, -0.25, 0.87]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
40	[-0.02, -0.14, -0.32, 0.03, -0.02, 0.08, -1.0]	[-0.07, -0.25, 0.87]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
41	[-0.05, -0.12, -0.37, 0.03, -0.02, 0.07, -1.0]	[-0.07, -0.25, 0.86]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
42	[-0.01, -0.17, -0.29, 0.03, -0.02, 0.07, -1.0]	[-0.07, -0.25, 0.86]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
43	[-0.03, -0.13, -0.34, 0.04, -0.02, 0.06, -1.0]	[-0.07, -0.25, 0.85]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
44	[-0.01, -0.18, -0.22, 0.03, -0.02, 0.05, -1.0]	[-0.07, -0.26, 0.85]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
45	[-0.11, -0.12, -0.29, 0.03, -0.02, 0.04, -1.0]	[-0.07, -0.26, 0.85]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
46	[-0.1, -0.18, -0.27, 0.02, -0.02, 0.04, -1.0]	[-0.07, -0.26, 0.84]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
47	[-0.1, -0.23, -0.28, 0.02, -0.02, 0.03, -1.0]	[-0.08, -0.26, 0.84]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
48	[-0.06, -0.24, -0.22, 0.01, -0.02, 0.02, -1.0]	[-0.08, -0.26, 0.84]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
49	[-0.1, -0.23, -0.27, 0.02, -0.02, 0.02, -1.0]	[-0.08, -0.27, 0.83]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
50	[-0.05, -0.24, -0.27, 0.02, -0.02, 0.02, -1.0]	[-0.08, -0.27, 0.83]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
51	[-0.07, -0.2, -0.29, 0.02, -0.02, 0.02, -1.0]	[-0.08, -0.27, 0.82]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
52	[0.0, -0.18, -0.21, 0.02, -0.02, 0.02, -1.0]	[-0.08, -0.28, 0.82]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
53	[-0.06, -0.13, -0.22, 0.02, -0.02, 0.02, -1.0]	[-0.08, -0.28, 0.82]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
54	[-0.06, -0.11, -0.24, 0.02, -0.02, 0.02, -1.0]	[-0.08, -0.28, 0.81]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
55	[-0.16, -0.11, -0.33, 0.02, -0.02, 0.01, -1.0]	[-0.08, -0.28, 0.81]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
56	[-0.1, -0.08, -0.22, 0.02, -0.02, 0.01, -1.0]	[-0.08, -0.28, 0.81]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
57	[-0.11, -0.03, -0.24, 0.02, -0.02, 0.01, -1.0]	[-0.08, -0.28, 0.81]	[0.03, -0.2, 0.81]	[-0.02, -0.26, 0.81]	[-0.08, 0.0, 0.88]
