step	action	robot0_eef_pos	tool_pos	frame_pos	stand_pos
0	[-0.07, -0.2, -0.06, 0.0, 0.08, 0.04, -1.0]	[-0.11, -0.01, 1.0]	[0.05, -0.2, 0.84]	[-0.05, -0.22, 0.84]	[-0.08, 0.0, 0.88]
1	[-0.1, -0.39, -0.15, -0.0, 0.09, 0.06, -1.0]	[-0.11, -0.01, 1.0]	[0.05, -0.2, 0.83]	[-0.05, -0.22, 0.83]	[-0.08, 0.0, 0.88]
2	[-0.04, -0.79, -0.03, -0.0, 0.1, 0.09, -1.0]	[-0.11, -0.01, 1.0]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
3	[-0.08, -0.64, -0.04, -0.01, 0.11, 0.13, -1.0]	[-0.12, -0.02, 1.0]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
4	[-0.07, -0.73, -0.06, -0.01, 0.12, 0.17, -1.0]	[-0.12, -0.02, 1.0]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
5	[-0.04, -1.0, -0.13, -0.01, 0.13, 0.2, -1.0]	[-0.12, -0.03, 0.99]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
6	[-0.06, -0.78, -0.37, -0.02, 0.12, 0.24, -1.0]	[-0.12, -0.04, 0.99]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
7	[0.04, -0.85, -0.42, -0.02, 0.1, 0.27, -1.0]	[-0.12, -0.05, 0.99]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
8	[0.03, -0.85, -0.49, -0.01, 0.08, 0.29, -1.0]	[-0.12, -0.06, 0.98]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
9	[0.06, -0.73, -0.45, -0.0, 0.08, 0.3, -1.0]	[-0.12, -0.07, 0.98]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
10	[0.12, -0.64, -0.46, -0.0, 0.09, 0.32, -1.0]	[-0.12, -0.08, 0.97]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
11	[-0.04, -0.73, -0.32, -0.03, 0.09, 0.33, -1.0]	[-0.12, -0.09, 0.97]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
