step	subtask	stage
0	Align manipulator height with Door	0
1	Align manipulator height with Door	0
2	Align manipulator height with Door	0
3	Align manipulator height with Door	0
4	Align manipulator height with Door	0
5	Align manipulator height with Door	0
6	Align manipulator height with Door	0
7	Get closer to Door	1
8	Get closer to Door	1
9	Get closer to Door	1
10	Get closer to Door	1
11	Get closer to Door	1
12	Get closer to Door	1
13	Get closer to Door	1
14	Get closer to Door	1
15	Get closer to Door	1
16	Get closer to Door	1
17	Get closer to Door	1
18	Get closer to Door	1
19	Get closer to Door	1
20	Get closer to Door	1
21	Turn Door handle	2
22	Turn Door handle	2
23	Turn Door handle	2
24	Turn Door handle	2
25	Turn Door handle	2
26	Turn Door handle	2
27	Turn Door handle	2
28	Turn Door handle	2
29	Turn Door handle	2
30	Turn Door handle	2
31	Turn Door handle	2
32	Turn Door handle	2
33	Turn Door handle	2
34	Turn Door handle	2
35	Turn Door handle	2
36	Turn Door handle	2
37	Turn Door handle	2
38	Turn Door handle	2
39	Turn Door handle	2
40	Turn Door handle	2
41	Turn Door handle	2
42	Turn Door handle	2
43	Turn Door handle	2
44	Turn Door handle	2
45	Turn Door handle	2
46	Turn Door handle	2
47	Open Door	3
48	Open Door	3
49	Open Door	3
50	Open Door	3
51	Open Door	3
52	Open Door	3
53	Open Door	3
54	Open Door	3
55	Open Door	3
56	Open Door	3
57	Open Door	3
58	Open Door	3
59	Open Door	3
60	Open Door	3
61	Open Door	3
62	Open Door	3
63	Open Door	3
64	Open Door	3
65	Open Door	3
66	Open Door	3
67	Open Door	3
68	Open Door	3
69	Open Door	3
70	Open Door	3
71	Open Door	3
72	Open Door	3
73	Open Door	3
74	Open Door	3
75	Open Door	3
76	Open Door	3
77	Open Door	3
78	Open Door	3
79	Open Door	3
