step	action	robot0_eef_pos	cube_pos	gripper_to_cube_pos
0	[0.23, 1.73, -1.95, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.01, 1.0]	[-0.07, 0.17, 0.82]	[-0.02, -0.16, 0.18]
1	[0.18, 1.6, -1.79, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.03, 0.98]	[-0.07, 0.17, 0.82]	[-0.01, -0.14, 0.16]
2	[0.11, 1.43, -1.57, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.04, 0.96]	[-0.07, 0.17, 0.82]	[-0.01, -0.13, 0.13]
3	[0.06, 1.25, -1.35, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.06, 0.93]	[-0.07, 0.17, 0.82]	[-0.0, -0.11, 0.11]
4	[0.03, 1.07, -1.12, 0.0, 0.0, 0.0, -1.0]	[-0.07, 0.08, 0.91]	[-0.07, 0.17, 0.82]	[-0.0, -0.09, 0.09]
5	[0.01, 0.88, -0.89, 0.0, 0.0, 0.0, -1.0]	[-0.07, 0.1, 0.89]	[-0.07, 0.17, 0.82]	[-0.0, -0.07, 0.07]
6	[0.0, 0.69, -0.68, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.12, 0.87]	[-0.07, 0.17, 0.82]	[-0.0, -0.05, 0.05]
7	[0.02, 0.52, -0.5, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.13, 0.86]	[-0.07, 0.17, 0.82]	[-0.0, -0.04, 0.04]
8	[0.05, 0.37, -0.36, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.14, 0.85]	[-0.08, 0.17, 0.82]	[-0.01, -0.03, 0.03]
9	[0.07, 0.27, -0.26, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.16, 0.84]	[-0.08, 0.18, 0.82]	[-0.01, -0.02, 0.02]
10	[0.09, 0.22, -0.21, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.17, 0.84]	[-0.08, 0.19, 0.82]	[-0.01, -0.02, 0.01]
11	[0.09, 0.2, -0.14, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.18, 0.83]	[-0.08, 0.2, 0.83]	[-0.01, -0.02, 0.01]
12	[0.09, 0.18, -0.06, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.19, 0.83]	[-0.08, 0.21, 0.83]	[-0.01, -0.02, 0.0]
13	[0.1, 0.17, -0.02, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.2, 0.83]	[-0.07, 0.21, 0.82]	[-0.02, -0.02, 0.01]
14	[0.2, 0.17, -0.06, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.2, 0.83]	[-0.07, 0.21, 0.82]	[-0.02, -0.01, 0.01]
15	[0.22, 0.12, -0.08, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.21, 0.83]	[-0.07, 0.21, 0.82]	[-0.02, -0.01, 0.01]
16	[0.18, 0.07, -0.06, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.21, 0.82]	[-0.07, 0.21, 0.82]	[-0.01, -0.0, 0.0]
17	[0.14, 0.04, -0.04, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.21, 0.82]	[-0.07, 0.21, 0.82]	[-0.01, -0.0, 0.0]
18	[0.1, 0.02, -0.03, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.21, 0.82]	[-0.07, 0.21, 0.82]	[-0.01, -0.0, 0.0]
19	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.07, 0.21, 0.82]	[-0.07, 0.21, 0.82]	[-0.01, -0.0, 0.0]
20	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.07, 0.21, 0.82]	[-0.07, 0.21, 0.82]	[-0.01, -0.0, 0.0]
21	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.07, 0.21, 0.83]	[-0.07, 0.21, 0.82]	[-0.01, -0.0, 0.01]
22	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.07, 0.21, 0.83]	[-0.07, 0.21, 0.83]	[-0.01, -0.0, 0.01]
23	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.07, 0.21, 0.84]	[-0.07, 0.21, 0.83]	[-0.01, -0.0, 0.01]
24	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.07, 0.21, 0.84]	[-0.07, 0.21, 0.84]	[-0.01, -0.0, 0.01]
25	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.07, 0.21, 0.85]	[-0.07, 0.21, 0.84]	[-0.01, -0.0, 0.01]
26	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.07, 0.21, 0.86]	[-0.07, 0.21, 0.85]	[-0.01, -0.0, 0.01]
27	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.07, 0.21, 0.86]	[-0.07, 0.21, 0.86]	[-0.01, -0.0, 0.01]
28	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.07, 0.21, 0.87]	[-0.07, 0.21, 0.86]	[-0.01, -0.0, 0.01]
29	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.21, 0.87]	[-0.07, 0.21, 0.87]	[-0.01, -0.0, 0.01]
30	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.21, 0.87]	[-0.07, 0.21, 0.87]	[-0.01, -0.0, 0.01]
31	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.21, 0.87]	[-0.07, 0.21, 0.87]	[-0.01, -0.0, 0.01]
32	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.07, 0.21, 0.87]	[-0.07, 0.21, 0.87]	[-0.01, -0.0, 0.01]
33	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.07, 0.21, 0.87]	[-0.07, 0.21, 0.87]	[-0.01, -0.0, 0.01]
34	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.07, 0.21, 0.87]	[-0.07, 0.21, 0.87]	[-0.01, -0.0, 0.01]
35	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.21, 0.87]	[-0.07, 0.21, 0.87]	[-0.01, -0.0, 0.01]
36	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.21, 0.87]	[-0.07, 0.21, 0.87]	[-0.01, -0.0, 0.01]
37	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.21, 0.87]	[-0.07, 0.21, 0.87]	[-0.01, -0.0, 0.01]
38	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.21, 0.87]	[-0.07, 0.21, 0.87]	[-0.01, -0.0, 0.01]
39	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.21, 0.87]	[-0.07, 0.21, 0.87]	[-0.01, -0.0, 0.01]
40	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.21, 0.87]	[-0.07, 0.21, 0.87]	[-0.01, -0.0, 0.01]
41	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.21, 0.87]	[-0.07, 0.21, 0.87]	[-0.01, -0.0, 0.01]
42	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.21, 0.87]	[-0.07, 0.21, 0.87]	[-0.01, -0.0, 0.01]
43	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.21, 0.87]	[-0.07, 0.21, 0.87]	[-0.01, -0.0, 0.01]
44	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.21, 0.87]	[-0.07, 0.21, 0.87]	[-0.01, -0.0, 0.01]
45	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.21, 0.87]	[-0.07, 0.21, 0.87]	[-0.01, -0.0, 0.01]
46	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.21, 0.87]	[-0.07, 0.21, 0.87]	[-0.01, -0.0, 0.01]
