step	action	robot0_eef_pos	cube_pos	gripper_to_cube_pos
0	[0.27, 1.14, -1.97, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.02, 1.0]	[-0.07, 0.12, 0.82]	[-0.02, -0.1, 0.18]
1	[0.21, 1.01, -1.81, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.03, 0.98]	[-0.07, 0.12, 0.82]	[-0.01, -0.08, 0.16]
2	[0.14, 0.84, -1.58, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.05, 0.96]	[-0.07, 0.12, 0.82]	[-0.01, -0.07, 0.13]
3	[0.1, 0.68, -1.35, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.06, 0.93]	[-0.07, 0.12, 0.82]	[-0.01, -0.05, 0.11]
4	[0.07, 0.55, -1.12, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.07, 0.91]	[-0.07, 0.12, 0.82]	[-0.01, -0.04, 0.09]
5	[0.06, 0.43, -0.88, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.08, 0.89]	[-0.07, 0.12, 0.82]	[-0.01, -0.03, 0.07]
6	[0.06, 0.32, -0.66, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.09, 0.87]	[-0.07, 0.12, 0.82]	[-0.01, -0.02, 0.05]
7	[0.07, 0.22, -0.48, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.1, 0.85]	[-0.07, 0.12, 0.82]	[-0.01, -0.01, 0.03]
8	[0.1, 0.13, -0.34, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.11, 0.84]	[-0.07, 0.12, 0.82]	[-0.01, -0.01, 0.02]
9	[0.12, 0.06, -0.23, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.12, 0.84]	[-0.07, 0.12, 0.82]	[-0.01, 0.0, 0.02]
10	[0.14, -0.01, -0.15, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.12, 0.83]	[-0.07, 0.12, 0.82]	[-0.02, 0.01, 0.01]
11	[0.15, -0.06, -0.1, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.13, 0.83]	[-0.07, 0.12, 0.82]	[-0.02, 0.01, 0.01]
12	[0.15, -0.1, -0.06, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.13, 0.82]	[-0.07, 0.12, 0.82]	[-0.01, 0.01, 0.0]
13	[0.14, -0.11, -0.04, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.13, 0.82]	[-0.07, 0.12, 0.82]	[-0.01, 0.01, 0.0]
14	[0.12, -0.12, -0.03, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.13, 0.82]	[-0.07, 0.12, 0.82]	[-0.01, 0.01, 0.0]
15	[0.1, -0.11, -0.02, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.13, 0.82]	[-0.07, 0.12, 0.82]	[-0.01, 0.01, 0.0]
16	[0.08, -0.09, -0.01, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.12, 0.82]	[-0.07, 0.12, 0.82]	[-0.01, 0.01, 0.0]
17	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.12, 0.82]	[-0.07, 0.12, 0.82]	[-0.0, 0.01, 0.0]
18	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.12, 0.82]	[-0.07, 0.12, 0.82]	[-0.0, 0.0, 0.0]
19	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.12, 0.83]	[-0.07, 0.12, 0.82]	[-0.0, -0.0, 0.0]
20	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.12, 0.83]	[-0.07, 0.12, 0.83]	[-0.0, -0.0, 0.0]
21	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.12, 0.84]	[-0.07, 0.12, 0.83]	[-0.01, -0.0, 0.0]
22	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.12, 0.84]	[-0.07, 0.12, 0.84]	[-0.01, -0.0, 0.0]
23	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.85]	[-0.07, 0.12, 0.85]	[-0.01, -0.0, 0.0]
24	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.85]	[-0.07, 0.12, 0.85]	[-0.01, -0.0, 0.0]
25	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.86]	[-0.07, 0.12, 0.86]	[-0.01, -0.0, 0.0]
26	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.86]	[-0.07, 0.11, 0.86]	[-0.01, -0.0, 0.0]
27	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.87]	[-0.07, 0.11, 0.87]	[-0.01, -0.0, 0.0]
28	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.87]	[-0.07, 0.11, 0.87]	[-0.01, -0.0, 0.0]
29	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.87]	[-0.07, 0.11, 0.87]	[-0.01, -0.0, 0.0]
30	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.87]	[-0.07, 0.12, 0.87]	[-0.01, -0.0, 0.0]
31	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.87]	[-0.07, 0.12, 0.87]	[-0.01, -0.0, 0.0]
32	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.87]	[-0.07, 0.12, 0.87]	[-0.01, -0.0, 0.0]
33	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.87]	[-0.07, 0.12, 0.87]	[-0.01, -0.0, 0.0]
34	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.87]	[-0.07, 0.12, 0.87]	[-0.01, -0.0, 0.0]
35	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.87]	[-0.07, 0.12, 0.87]	[-0.01, -0.0, 0.0]
36	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.87]	[-0.07, 0.12, 0.87]	[-0.01, -0.0, 0.0]
37	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.87]	[-0.07, 0.12, 0.87]	[-0.01, -0.0, 0.0]
38	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.87]	[-0.07, 0.12, 0.87]	[-0.01, -0.0, 0.0]
39	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.87]	[-0.07, 0.12, 0.87]	[-0.01, -0.0, 0.0]
40	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.87]	[-0.07, 0.12, 0.87]	[-0.01, -0.0, 0.0]
41	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.87]	[-0.07, 0.12, 0.87]	[-0.01, -0.0, 0.0]
42	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.87]	[-0.07, 0.12, 0.87]	[-0.01, -0.0, 0.0]
43	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.87]	[-0.07, 0.12, 0.87]	[-0.01, -0.0, 0.0]
44	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.87]	[-0.07, 0.12, 0.87]	[-0.01, -0.0, 0.0]
45	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.87]	[-0.07, 0.12, 0.87]	[-0.01, -0.0, 0.0]
46	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, 0.11, 0.87]	[-0.07, 0.12, 0.87]	[-0.01, -0.0, 0.0]
