step	action	robot0_eef_pos	nut0_pos	nut1_pos
0	[0.0, 0.0, 0.0, -0.0, 0.12, 0.02, -1.0]	[-0.1, -0.0, 1.01]	[-0.11, 0.19, 0.89]	[10.0, 10.0, 10.0]
1	[0.0, 0.45, -0.21, 0.01, 0.12, 0.01, -1.0]	[-0.11, -0.0, 1.01]	[-0.11, 0.19, 0.88]	[10.0, 10.0, 9.99]
2	[-0.01, 0.61, -0.35, 0.01, 0.1, -0.01, -1.0]	[-0.11, -0.0, 1.01]	[-0.11, 0.19, 0.84]	[10.0, 10.0, 9.95]
3	[0.01, 0.8, -0.32, 0.02, 0.08, -0.04, -1.0]	[-0.11, 0.0, 1.01]	[-0.11, 0.19, 0.82]	[10.0, 10.0, 9.89]
4	[-0.09, 1.0, -0.22, 0.03, 0.07, -0.07, -1.0]	[-0.11, 0.01, 1.0]	[-0.11, 0.19, 0.83]	[10.0, 10.0, 9.81]
5	[-0.09, 1.0, -0.22, 0.03, 0.05, -0.11, -1.0]	[-0.11, 0.02, 1.0]	[-0.11, 0.19, 0.83]	[10.0, 10.0, 9.7]
6	[-0.09, 1.0, -0.15, 0.02, 0.05, -0.16, -1.0]	[-0.11, 0.03, 1.0]	[-0.11, 0.19, 0.83]	[10.0, 10.0, 9.58]
7	[-0.06, 1.0, -0.06, 0.02, 0.05, -0.21, -1.0]	[-0.11, 0.04, 0.99]	[-0.11, 0.19, 0.83]	[10.0, 10.0, 9.44]
8	[0.03, 1.0, -0.1, 0.03, 0.06, -0.26, -1.0]	[-0.11, 0.06, 0.99]	[-0.11, 0.19, 0.83]	[10.0, 10.0, 9.28]
9	[0.13, 1.0, -0.22, 0.02, 0.06, -0.32, -1.0]	[-0.11, 0.07, 0.99]	[-0.11, 0.19, 0.83]	[10.0, 10.0, 9.11]
10	[0.13, 1.0, -0.27, 0.02, 0.06, -0.36, -1.0]	[-0.11, 0.08, 0.99]	[-0.11, 0.19, 0.83]	[10.0, 10.0, 8.93]
11	[0.04, 0.86, -0.31, 0.03, 0.07, -0.38, -1.0]	[-0.11, 0.09, 0.98]	[-0.11, 0.19, 0.83]	[10.0, 10.0, 8.74]
12	[0.06, 0.86, -0.31, 0.04, 0.07, -0.41, -1.0]	[-0.11, 0.1, 0.98]	[-0.11, 0.19, 0.83]	[10.0, 10.0, 8.54]
13	[0.19, 0.87, -0.35, 0.06, 0.06, -0.43, -1.0]	[-0.11, 0.12, 0.98]	[-0.11, 0.19, 0.83]	[10.0, 10.0, 8.33]
14	[0.08, 0.74, -0.23, 0.07, 0.07, -0.43, -1.0]	[-0.11, 0.13, 0.97]	[-0.11, 0.19, 0.83]	[10.0, 10.0, 8.12]
15	[0.1, 0.78, -0.4, 0.07, 0.05, -0.44, -1.0]	[-0.11, 0.14, 0.97]	[-0.11, 0.19, 0.83]	[10.0, 10.0, 7.9]
16	[0.29, 0.96, -0.65, 0.04, 0.03, -0.45, -1.0]	[-0.11, 0.15, 0.96]	[-0.11, 0.19, 0.83]	[10.01, 10.0, 7.67]
17	[0.25, 0.77, -0.51, 0.01, 0.02, -0.47, -1.0]	[-0.1, 0.16, 0.96]	[-0.11, 0.19, 0.83]	[10.01, 10.0, 7.45]
18	[0.34, 0.78, -0.43, 0.01, 0.01, -0.51, -1.0]	[-0.1, 0.17, 0.95]	[-0.11, 0.19, 0.83]	[10.01, 10.0, 7.22]
19	[0.41, 0.74, -0.3, 0.01, 0.03, -0.53, -1.0]	[-0.1, 0.18, 0.94]	[-0.11, 0.19, 0.83]	[10.01, 10.0, 6.98]
20	[0.42, 0.74, -0.37, 0.01, 0.03, -0.56, -1.0]	[-0.09, 0.19, 0.94]	[-0.11, 0.19, 0.83]	[10.02, 10.0, 6.75]
21	[0.32, 0.65, -0.46, -0.02, 0.04, -0.56, -1.0]	[-0.09, 0.2, 0.93]	[-0.11, 0.19, 0.83]	[10.02, 10.0, 6.51]
22	[0.09, 0.46, -0.31, -0.03, 0.05, -0.54, -1.0]	[-0.08, 0.2, 0.93]	[-0.11, 0.19, 0.83]	[10.03, 10.0, 6.27]
23	[0.06, 0.37, -0.31, -0.04, 0.06, -0.52, -1.0]	[-0.08, 0.21, 0.92]	[-0.11, 0.19, 0.83]	[10.03, 10.0, 6.03]
24	[0.04, 0.5, -0.28, -0.05, 0.07, -0.5, -1.0]	[-0.08, 0.22, 0.92]	[-0.11, 0.19, 0.83]	[10.04, 10.0, 5.79]
25	[-0.08, 0.18, -0.16, -0.06, 0.09, -0.47, -1.0]	[-0.08, 0.22, 0.91]	[-0.11, 0.19, 0.83]	[10.05, 10.0, 5.55]
26	[0.11, 0.45, -0.24, -0.06, 0.08, -0.48, -1.0]	[-0.08, 0.23, 0.91]	[-0.11, 0.19, 0.83]	[10.05, 10.0, 5.3]
27	[-0.15, 0.1, -0.05, -0.04, 0.07, -0.46, -1.0]	[-0.08, 0.23, 0.91]	[-0.11, 0.19, 0.83]	[10.06, 10.0, 5.06]
28	[-0.14, 0.36, -0.09, -0.02, 0.06, -0.44, -1.0]	[-0.08, 0.24, 0.9]	[-0.11, 0.19, 0.83]	[10.07, 10.0, 4.82]
29	[-0.14, 0.09, -0.04, -0.01, 0.05, -0.42, -1.0]	[-0.08, 0.24, 0.9]	[-0.11, 0.19, 0.83]	[10.09, 10.0, 4.57]
30	[0.08, 0.24, -0.06, -0.0, 0.05, -0.41, -1.0]	[-0.09, 0.25, 0.9]	[-0.11, 0.19, 0.83]	[10.1, 10.0, 4.33]
31	[0.13, 0.04, 0.19, 0.02, 0.05, -0.41, -1.0]	[-0.09, 0.25, 0.9]	[-0.11, 0.19, 0.83]	[10.11, 10.0, 4.08]
32	[-0.04, 0.09, -0.13, 0.01, 0.04, -0.38, -1.0]	[-0.09, 0.26, 0.9]	[-0.11, 0.19, 0.83]	[10.13, 10.0, 3.84]
33	[-0.17, 0.04, -0.15, -0.01, 0.03, -0.35, -1.0]	[-0.09, 0.26, 0.9]	[-0.11, 0.19, 0.83]	[10.15, 10.0, 3.59]
34	[-0.12, 0.11, -0.06, -0.0, 0.03, -0.32, -1.0]	[-0.09, 0.26, 0.9]	[-0.11, 0.19, 0.83]	[10.16, 10.0, 3.34]
35	[-0.13, -0.09, -0.0, 0.0, 0.02, -0.3, -1.0]	[-0.09, 0.26, 0.9]	[-0.11, 0.19, 0.83]	[10.18, 10.0, 3.1]
36	[-0.21, -0.11, -0.23, -0.01, 0.01, -0.28, -1.0]	[-0.09, 0.26, 0.9]	[-0.11, 0.19, 0.83]	[10.2, 10.0, 2.85]
37	[-0.16, 0.04, -0.24, -0.01, 0.0, -0.25, -1.0]	[-0.09, 0.26, 0.9]	[-0.11, 0.19, 0.83]	[10.23, 10.0, 2.6]
38	[-0.2, -0.02, -0.22, -0.01, -0.0, -0.23, -1.0]	[-0.1, 0.26, 0.9]	[-0.11, 0.19, 0.83]	[10.25, 10.0, 2.36]
39	[-0.18, 0.05, -0.34, -0.01, -0.01, -0.21, -1.0]	[-0.1, 0.26, 0.89]	[-0.11, 0.19, 0.83]	[10.28, 10.0, 2.11]
40	[-0.15, 0.01, -0.33, -0.01, -0.02, -0.2, -1.0]	[-0.1, 0.26, 0.89]	[-0.11, 0.19, 0.83]	[10.3, 10.0, 1.86]
41	[-0.18, -0.07, -0.4, -0.02, -0.03, -0.18, -1.0]	[-0.1, 0.26, 0.89]	[-0.11, 0.19, 0.83]	[10.33, 10.0, 1.62]
42	[-0.23, -0.1, -0.38, -0.03, -0.03, -0.15, -1.0]	[-0.1, 0.26, 0.88]	[-0.11, 0.19, 0.83]	[10.36, 10.0, 1.37]
43	[-0.16, -0.14, -0.25, -0.02, -0.03, -0.13, -1.0]	[-0.1, 0.26, 0.88]	[-0.11, 0.19, 0.83]	[10.39, 10.0, 1.12]
44	[-0.14, -0.13, -0.24, -0.02, -0.03, -0.12, -1.0]	[-0.11, 0.26, 0.87]	[-0.11, 0.19, 0.83]	[10.43, 10.0, 0.87]
45	[-0.17, -0.11, -0.31, -0.02, -0.03, -0.1, -1.0]	[-0.11, 0.26, 0.87]	[-0.11, 0.19, 0.83]	[10.46, 10.0, 0.62]
46	[-0.09, -0.07, -0.11, -0.02, -0.03, -0.1, -1.0]	[-0.11, 0.26, 0.87]	[-0.11, 0.19, 0.83]	[10.5, 10.0, 0.37]
47	[-0.11, -0.12, -0.16, -0.03, -0.03, -0.1, -1.0]	[-0.11, 0.25, 0.86]	[-0.11, 0.19, 0.83]	[10.54, 10.0, 0.12]
48	[-0.13, -0.11, -0.14, -0.02, -0.03, -0.09, -1.0]	[-0.11, 0.25, 0.86]	[-0.11, 0.19, 0.83]	[10.56, 10.0, -0.02]
49	[-0.23, -0.08, -0.29, -0.02, -0.02, -0.09, -1.0]	[-0.11, 0.25, 0.86]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.0]
50	[-0.12, -0.05, -0.24, -0.02, -0.03, -0.08, -1.0]	[-0.11, 0.25, 0.86]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
51	[-0.15, 0.08, -0.32, -0.02, -0.03, -0.08, -1.0]	[-0.11, 0.24, 0.85]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
52	[-0.06, 0.11, -0.27, -0.01, -0.03, -0.08, -1.0]	[-0.11, 0.24, 0.85]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
53	[-0.07, 0.21, -0.35, -0.01, -0.03, -0.09, -1.0]	[-0.11, 0.24, 0.85]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
54	[-0.04, 0.15, -0.23, -0.01, -0.03, -0.09, -1.0]	[-0.11, 0.24, 0.84]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
55	[-0.05, 0.15, -0.15, -0.01, -0.03, -0.09, -1.0]	[-0.11, 0.24, 0.84]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
56	[-0.04, 0.22, -0.06, -0.01, -0.03, -0.09, -1.0]	[-0.11, 0.24, 0.84]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
57	[-0.0, 0.22, -0.03, -0.0, -0.03, -0.09, -1.0]	[-0.12, 0.24, 0.84]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
58	[-0.04, 0.16, -0.11, -0.0, -0.02, -0.09, -1.0]	[-0.11, 0.24, 0.84]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
59	[-0.04, 0.18, 0.02, -0.0, -0.02, -0.08, -1.0]	[-0.11, 0.25, 0.84]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
60	[-0.06, 0.11, -0.14, -0.01, -0.01, -0.08, -1.0]	[-0.11, 0.25, 0.83]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
61	[-0.05, 0.09, -0.13, -0.01, -0.01, -0.08, -1.0]	[-0.11, 0.25, 0.83]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
62	[0.0, 0.13, -0.01, -0.01, 0.0, -0.09, -1.0]	[-0.11, 0.25, 0.83]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
63	[-0.03, 0.05, -0.16, -0.01, 0.02, -0.08, -1.0]	[-0.11, 0.25, 0.83]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
64	[0.03, 0.03, -0.16, -0.01, 0.03, -0.08, -1.0]	[-0.12, 0.25, 0.83]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
65	[0.06, 0.04, -0.21, -0.02, 0.03, -0.08, -1.0]	[-0.11, 0.25, 0.83]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
66	[0.06, 0.12, -0.1, -0.02, 0.03, -0.08, -1.0]	[-0.11, 0.25, 0.83]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
67	[0.11, 0.22, -0.23, -0.01, 0.03, -0.07, 1.0]	[-0.11, 0.25, 0.83]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
68	[0.06, 0.05, -0.08, -0.01, 0.03, -0.07, 1.0]	[-0.11, 0.25, 0.83]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
69	[0.1, 0.0, -0.17, -0.01, 0.04, -0.06, 1.0]	[-0.11, 0.25, 0.83]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
70	[0.15, -0.04, -0.1, -0.01, 0.03, -0.05, 1.0]	[-0.11, 0.25, 0.83]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
71	[0.14, -0.05, -0.08, -0.01, 0.03, -0.04, 1.0]	[-0.1, 0.25, 0.83]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
72	[0.23, -0.07, -0.02, -0.01, 0.02, -0.03, 1.0]	[-0.1, 0.25, 0.83]	[-0.11, 0.19, 0.83]	[10.57, 10.0, 0.01]
73	[0.29, -0.04, 0.01, -0.02, 0.01, -0.03, 1.0]	[-0.1, 0.25, 0.83]	[-0.1, 0.19, 0.83]	[10.57, 10.0, 0.01]
74	[0.42, -0.08, 0.23, -0.01, 0.01, -0.02, 1.0]	[-0.09, 0.25, 0.83]	[-0.1, 0.19, 0.83]	[10.57, 10.0, 0.01]
75	[0.55, -0.04, 0.18, -0.01, 0.01, -0.02, 1.0]	[-0.09, 0.25, 0.83]	[-0.09, 0.19, 0.83]	[10.57, 10.0, 0.01]
76	[0.64, -0.12, 0.36, -0.01, 0.01, -0.01, 1.0]	[-0.08, 0.25, 0.83]	[-0.09, 0.19, 0.83]	[10.57, 10.0, 0.01]
77	[0.76, -0.17, 0.43, -0.01, 0.02, -0.01, 1.0]	[-0.08, 0.25, 0.84]	[-0.08, 0.19, 0.84]	[10.57, 10.0, 0.01]
78	[0.84, -0.18, 0.37, -0.01, 0.03, 0.0, 1.0]	[-0.07, 0.25, 0.84]	[-0.07, 0.19, 0.84]	[10.57, 10.0, 0.01]
79	[0.94, -0.25, 0.63, -0.01, 0.03, 0.01, 1.0]	[-0.06, 0.24, 0.85]	[-0.06, 0.18, 0.85]	[10.57, 10.0, 0.01]
80	[1.0, -0.28, 0.79, -0.0, 0.04, 0.03, 1.0]	[-0.05, 0.24, 0.85]	[-0.06, 0.18, 0.85]	[10.57, 10.0, 0.01]
81	[1.0, -0.29, 0.91, 0.01, 0.05, 0.04, 1.0]	[-0.04, 0.24, 0.86]	[-0.05, 0.18, 0.86]	[10.57, 10.0, 0.01]
82	[1.0, -0.35, 0.89, 0.0, 0.06, 0.05, 1.0]	[-0.03, 0.24, 0.87]	[-0.03, 0.18, 0.87]	[10.57, 10.0, 0.01]
83	[1.0, -0.46, 1.0, 0.0, 0.07, 0.06, 1.0]	[-0.02, 0.23, 0.88]	[-0.02, 0.17, 0.88]	[10.57, 10.0, 0.01]
