step	action	robot0_eef_pos	nut0_pos	nut1_pos
0	[0.0, 0.0, 0.0, 0.01, 0.13, 0.04, -1.0]	[-0.11, -0.02, 1.01]	[-0.11, 0.16, 0.89]	[10.0, 10.0, 10.0]
1	[-0.11, 0.38, -0.4, 0.01, 0.12, 0.02, -1.0]	[-0.11, -0.02, 1.01]	[-0.11, 0.16, 0.88]	[10.0, 10.0, 9.99]
2	[-0.17, 0.61, -0.3, 0.01, 0.1, -0.01, -1.0]	[-0.11, -0.01, 1.0]	[-0.11, 0.16, 0.84]	[10.0, 10.0, 9.95]
3	[-0.21, 0.9, -0.21, 0.01, 0.09, -0.04, -1.0]	[-0.11, -0.01, 1.0]	[-0.11, 0.16, 0.82]	[10.0, 10.0, 9.89]
4	[-0.06, 1.0, -0.22, 0.01, 0.08, -0.08, -1.0]	[-0.11, -0.0, 1.0]	[-0.11, 0.16, 0.83]	[10.0, 10.0, 9.81]
5	[0.06, 1.0, -0.2, -0.0, 0.08, -0.14, -1.0]	[-0.11, 0.01, 0.99]	[-0.11, 0.16, 0.83]	[10.0, 10.0, 9.7]
6	[-0.11, 1.0, -0.36, -0.03, 0.07, -0.19, -1.0]	[-0.12, 0.02, 0.99]	[-0.11, 0.16, 0.83]	[10.0, 10.0, 9.58]
7	[-0.16, 1.0, -0.36, -0.04, 0.05, -0.2, -1.0]	[-0.12, 0.03, 0.99]	[-0.11, 0.16, 0.83]	[10.0, 10.0, 9.44]
8	[-0.08, 0.82, -0.14, -0.04, 0.05, -0.21, -1.0]	[-0.12, 0.04, 0.98]	[-0.11, 0.16, 0.83]	[10.0, 10.0, 9.28]
9	[-0.19, 0.74, -0.29, -0.04, 0.05, -0.2, -1.0]	[-0.12, 0.05, 0.98]	[-0.11, 0.16, 0.83]	[10.0, 10.0, 9.11]
10	[-0.15, 0.76, -0.39, -0.03, 0.03, -0.2, -1.0]	[-0.12, 0.06, 0.98]	[-0.11, 0.16, 0.83]	[10.0, 10.0, 8.93]
11	[-0.16, 0.82, -0.39, -0.02, 0.02, -0.21, -1.0]	[-0.12, 0.07, 0.97]	[-0.11, 0.16, 0.83]	[10.0, 10.0, 8.74]
12	[-0.15, 0.76, -0.38, -0.0, 0.01, -0.21, -1.0]	[-0.12, 0.08, 0.97]	[-0.11, 0.16, 0.83]	[10.0, 10.0, 8.54]
13	[-0.15, 0.64, -0.45, 0.0, 0.01, -0.2, -1.0]	[-0.13, 0.09, 0.96]	[-0.11, 0.16, 0.83]	[10.0, 10.0, 8.33]
14	[-0.13, 0.62, -0.37, 0.01, 0.0, -0.2, -1.0]	[-0.13, 0.1, 0.96]	[-0.11, 0.16, 0.83]	[10.0, 10.0, 8.12]
15	[-0.12, 0.55, -0.19, 0.03, 0.02, -0.2, -1.0]	[-0.13, 0.11, 0.95]	[-0.11, 0.16, 0.83]	[10.0, 10.0, 7.9]
16	[-0.06, 0.44, -0.03, 0.06, 0.04, -0.2, -1.0]	[-0.13, 0.12, 0.95]	[-0.11, 0.16, 0.83]	[10.01, 10.0, 7.67]
17	[-0.14, 0.49, -0.31, 0.07, 0.04, -0.19, -1.0]	[-0.14, 0.13, 0.94]	[-0.11, 0.16, 0.83]	[10.01, 10.0, 7.45]
18	[-0.16, 0.43, -0.47, 0.05, 0.04, -0.19, -1.0]	[-0.14, 0.13, 0.94]	[-0.11, 0.16, 0.83]	[10.01, 10.0, 7.22]
19	[-0.1, 0.5, -0.44, 0.05, 0.03, -0.19, -1.0]	[-0.14, 0.14, 0.93]	[-0.11, 0.16, 0.83]	[10.01, 10.0, 6.98]
20	[-0.15, 0.4, -0.38, 0.05, 0.02, -0.19, -1.0]	[-0.15, 0.15, 0.93]	[-0.11, 0.16, 0.83]	[10.02, 10.0, 6.75]
21	[-0.15, 0.46, -0.5, 0.04, 0.01, -0.19, -1.0]	[-0.15, 0.15, 0.92]	[-0.11, 0.16, 0.83]	[10.02, 10.0, 6.51]
22	[-0.13, 0.43, -0.5, 0.02, -0.0, -0.19, -1.0]	[-0.15, 0.16, 0.92]	[-0.11, 0.16, 0.83]	[10.03, 10.0, 6.27]
23	[-0.05, 0.46, -0.46, 0.01, -0.01, -0.19, -1.0]	[-0.15, 0.17, 0.91]	[-0.11, 0.16, 0.83]	[10.03, 10.0, 6.03]
24	[-0.14, 0.36, -0.39, -0.0, -0.01, -0.18, -1.0]	[-0.15, 0.17, 0.91]	[-0.11, 0.16, 0.83]	[10.04, 10.0, 5.79]
25	[-0.01, 0.3, -0.26, -0.01, -0.01, -0.17, -1.0]	[-0.15, 0.17, 0.9]	[-0.11, 0.16, 0.83]	[10.05, 10.0, 5.55]
26	[0.03, 0.15, -0.2, -0.0, -0.01, -0.16, -1.0]	[-0.15, 0.18, 0.9]	[-0.11, 0.16, 0.83]	[10.05, 10.0, 5.3]
27	[0.1, 0.16, -0.14, -0.0, -0.01, -0.15, -1.0]	[-0.15, 0.18, 0.89]	[-0.11, 0.16, 0.83]	[10.06, 10.0, 5.06]
28	[0.07, -0.03, -0.12, -0.0, -0.01, -0.13, -1.0]	[-0.15, 0.18, 0.89]	[-0.11, 0.16, 0.83]	[10.07, 10.0, 4.82]
29	[0.11, 0.02, -0.21, -0.0, -0.01, -0.12, -1.0]	[-0.15, 0.19, 0.89]	[-0.11, 0.16, 0.83]	[10.09, 10.0, 4.57]
30	[0.02, -0.08, -0.24, -0.0, -0.01, -0.1, -1.0]	[-0.15, 0.19, 0.89]	[-0.11, 0.16, 0.83]	[10.1, 10.0, 4.33]
31	[-0.01, 0.0, -0.27, -0.0, -0.02, -0.09, -1.0]	[-0.15, 0.19, 0.88]	[-0.11, 0.16, 0.83]	[10.11, 10.0, 4.08]
32	[-0.16, -0.01, -0.21, -0.0, -0.01, -0.08, -1.0]	[-0.15, 0.19, 0.88]	[-0.11, 0.16, 0.83]	[10.13, 10.0, 3.84]
33	[-0.09, 0.09, -0.26, -0.0, -0.01, -0.07, -1.0]	[-0.15, 0.19, 0.88]	[-0.11, 0.16, 0.83]	[10.15, 10.0, 3.59]
34	[-0.25, 0.07, -0.23, -0.0, -0.01, -0.07, -1.0]	[-0.16, 0.19, 0.87]	[-0.11, 0.16, 0.83]	[10.16, 10.0, 3.34]
35	[-0.14, 0.12, -0.29, -0.0, -0.02, -0.06, -1.0]	[-0.16, 0.19, 0.87]	[-0.11, 0.16, 0.83]	[10.18, 10.0, 3.1]
36	[-0.19, 0.19, -0.32, -0.0, -0.02, -0.06, -1.0]	[-0.16, 0.19, 0.87]	[-0.11, 0.16, 0.83]	[10.2, 10.0, 2.85]
37	[-0.14, 0.2, -0.22, 0.01, -0.02, -0.07, -1.0]	[-0.16, 0.19, 0.86]	[-0.11, 0.16, 0.83]	[10.23, 10.0, 2.6]
38	[-0.15, 0.15, -0.2, 0.01, -0.02, -0.07, -1.0]	[-0.16, 0.19, 0.86]	[-0.11, 0.16, 0.83]	[10.25, 10.0, 2.36]
39	[-0.07, 0.08, -0.13, 0.01, -0.02, -0.06, -1.0]	[-0.17, 0.2, 0.86]	[-0.11, 0.16, 0.83]	[10.28, 10.0, 2.11]
40	[-0.05, -0.05, -0.15, 0.01, -0.03, -0.06, -1.0]	[-0.17, 0.2, 0.85]	[-0.11, 0.16, 0.83]	[10.3, 10.0, 1.86]
41	[-0.04, -0.12, -0.14, 0.0, -0.03, -0.04, -1.0]	[-0.17, 0.2, 0.85]	[-0.11, 0.16, 0.83]	[10.33, 10.0, 1.62]
42	[-0.04, -0.16, -0.14, 0.0, -0.03, -0.04, -1.0]	[-0.17, 0.2, 0.85]	[-0.11, 0.16, 0.83]	[10.36, 10.0, 1.37]
43	[-0.03, -0.17, -0.12, -0.0, -0.03, -0.02, -1.0]	[-0.17, 0.2, 0.85]	[-0.11, 0.16, 0.83]	[10.39, 10.0, 1.12]
44	[-0.06, -0.16, -0.06, -0.0, -0.02, -0.02, -1.0]	[-0.17, 0.2, 0.85]	[-0.11, 0.16, 0.83]	[10.43, 10.0, 0.87]
45	[0.01, -0.13, -0.07, -0.01, -0.02, -0.01, -1.0]	[-0.17, 0.2, 0.84]	[-0.11, 0.16, 0.83]	[10.46, 10.0, 0.62]
46	[-0.03, -0.15, 0.0, -0.01, -0.02, -0.01, -1.0]	[-0.18, 0.2, 0.84]	[-0.11, 0.16, 0.83]	[10.5, 10.0, 0.37]
47	[0.02, -0.14, -0.1, -0.01, -0.02, -0.0, -1.0]	[-0.18, 0.19, 0.84]	[-0.11, 0.16, 0.83]	[10.54, 10.0, 0.12]
48	[0.09, -0.07, -0.14, -0.01, -0.02, -0.0, -1.0]	[-0.18, 0.19, 0.84]	[-0.11, 0.16, 0.83]	[10.56, 10.0, -0.02]
49	[0.22, 0.07, 0.15, -0.01, -0.05, -0.02, -1.0]	[-0.18, 0.19, 0.84]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.0]
50	[0.24, -0.0, 0.08, -0.01, -0.04, -0.02, -1.0]	[-0.18, 0.19, 0.84]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
51	[0.22, -0.02, 0.08, -0.01, -0.03, -0.02, -1.0]	[-0.17, 0.19, 0.84]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
52	[0.22, -0.03, 0.03, -0.01, -0.03, -0.02, -1.0]	[-0.17, 0.19, 0.84]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
53	[0.17, -0.06, -0.03, -0.0, -0.02, -0.01, -1.0]	[-0.17, 0.19, 0.84]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
54	[0.15, -0.01, -0.12, 0.0, -0.02, -0.01, -1.0]	[-0.17, 0.19, 0.84]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
55	[0.11, 0.04, -0.14, 0.01, -0.02, -0.01, -1.0]	[-0.17, 0.19, 0.84]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
56	[0.04, 0.16, -0.15, 0.01, -0.02, -0.01, -1.0]	[-0.17, 0.19, 0.84]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
57	[0.15, 0.17, -0.11, 0.01, -0.02, -0.02, -1.0]	[-0.16, 0.2, 0.84]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
58	[0.02, 0.13, -0.07, 0.0, -0.02, -0.02, -1.0]	[-0.16, 0.2, 0.84]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
59	[0.13, 0.07, -0.08, 0.0, -0.02, -0.02, -1.0]	[-0.16, 0.2, 0.84]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
60	[0.09, 0.04, -0.07, -0.0, -0.01, -0.02, -1.0]	[-0.16, 0.2, 0.83]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
61	[0.11, 0.03, -0.2, -0.0, -0.01, -0.02, -1.0]	[-0.16, 0.2, 0.83]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
62	[0.01, -0.06, -0.33, -0.01, -0.02, -0.01, -1.0]	[-0.16, 0.2, 0.83]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
63	[-0.01, -0.08, -0.44, -0.01, -0.02, -0.01, -1.0]	[-0.16, 0.2, 0.83]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
64	[-0.0, -0.17, -0.47, -0.02, -0.03, -0.0, -1.0]	[-0.16, 0.2, 0.83]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
65	[-0.06, -0.24, -0.44, -0.04, -0.03, 0.01, -1.0]	[-0.16, 0.2, 0.83]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
66	[-0.1, -0.21, -0.36, -0.04, -0.03, 0.02, 1.0]	[-0.16, 0.2, 0.83]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
67	[-0.03, -0.22, -0.26, -0.06, -0.02, 0.03, 1.0]	[-0.16, 0.2, 0.83]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
68	[-0.0, -0.19, -0.26, -0.06, -0.02, 0.03, 1.0]	[-0.16, 0.2, 0.83]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
69	[0.09, -0.13, -0.28, -0.06, -0.03, 0.03, 1.0]	[-0.16, 0.2, 0.83]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
70	[0.15, -0.02, -0.18, -0.06, -0.02, 0.02, 1.0]	[-0.16, 0.2, 0.83]	[-0.11, 0.16, 0.83]	[10.57, 10.0, 0.01]
