step	action	robot0_eef_pos	nut0_pos	nut1_pos
0	[-0.03, 0.08, -0.04, 0.01, 0.11, 0.02, -1.0]	[-0.1, -0.01, 1.0]	[-0.11, 0.14, 0.89]	[10.0, 10.0, 10.0]
1	[-0.12, 0.36, -0.15, 0.01, 0.1, 0.01, -1.0]	[-0.1, -0.01, 1.0]	[-0.11, 0.14, 0.88]	[10.0, 10.0, 9.99]
2	[0.08, 0.66, -0.1, 0.02, 0.1, -0.02, -1.0]	[-0.11, -0.0, 1.0]	[-0.11, 0.14, 0.84]	[10.0, 10.0, 9.95]
3	[-0.14, 0.92, -0.03, 0.02, 0.1, -0.05, -1.0]	[-0.11, 0.0, 1.0]	[-0.11, 0.14, 0.82]	[10.0, 10.0, 9.89]
4	[0.07, 1.0, -0.21, 0.02, 0.09, -0.08, -1.0]	[-0.11, 0.01, 1.0]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 9.81]
5	[-0.08, 1.0, -0.46, 0.02, 0.05, -0.1, -1.0]	[-0.11, 0.02, 1.0]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 9.7]
6	[0.18, 1.0, -0.25, 0.01, 0.05, -0.14, -1.0]	[-0.11, 0.03, 0.99]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 9.58]
7	[0.04, 1.0, -0.13, 0.01, 0.06, -0.19, -1.0]	[-0.11, 0.04, 0.99]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 9.44]
8	[0.22, 1.0, -0.26, 0.02, 0.06, -0.25, -1.0]	[-0.11, 0.05, 0.99]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 9.28]
9	[0.15, 1.0, -0.28, 0.02, 0.07, -0.3, -1.0]	[-0.1, 0.07, 0.98]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 9.11]
10	[0.12, 0.99, -0.39, 0.02, 0.08, -0.33, -1.0]	[-0.1, 0.08, 0.98]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 8.93]
11	[-0.05, 0.81, -0.39, 0.03, 0.07, -0.34, -1.0]	[-0.1, 0.09, 0.98]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 8.74]
12	[0.22, 0.76, -0.49, 0.03, 0.06, -0.37, -1.0]	[-0.1, 0.1, 0.97]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 8.54]
13	[0.08, 0.91, -0.36, 0.06, 0.05, -0.41, -1.0]	[-0.1, 0.11, 0.96]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 8.33]
14	[0.04, 0.71, -0.39, 0.08, 0.06, -0.42, -1.0]	[-0.1, 0.12, 0.96]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 8.12]
15	[-0.02, 0.75, -0.61, 0.07, 0.03, -0.42, -1.0]	[-0.1, 0.14, 0.95]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 7.9]
16	[0.22, 0.83, -0.83, 0.04, -0.0, -0.44, -1.0]	[-0.1, 0.15, 0.95]	[-0.11, 0.14, 0.83]	[10.01, 10.0, 7.67]
17	[0.11, 0.65, -0.55, 0.03, -0.01, -0.45, -1.0]	[-0.1, 0.16, 0.94]	[-0.11, 0.14, 0.83]	[10.01, 10.0, 7.45]
18	[0.32, 0.71, -0.3, 0.03, 0.01, -0.48, -1.0]	[-0.09, 0.17, 0.93]	[-0.11, 0.14, 0.83]	[10.01, 10.0, 7.22]
19	[0.29, 0.48, -0.23, 0.03, 0.03, -0.5, -1.0]	[-0.09, 0.17, 0.92]	[-0.11, 0.14, 0.83]	[10.01, 10.0, 6.98]
20	[0.11, 0.48, -0.19, 0.01, 0.04, -0.51, -1.0]	[-0.09, 0.18, 0.92]	[-0.11, 0.14, 0.83]	[10.02, 10.0, 6.75]
21	[-0.05, 0.4, -0.34, -0.02, 0.04, -0.5, -1.0]	[-0.09, 0.19, 0.92]	[-0.11, 0.14, 0.83]	[10.02, 10.0, 6.51]
22	[-0.04, 0.27, -0.29, -0.04, 0.03, -0.48, -1.0]	[-0.08, 0.19, 0.91]	[-0.11, 0.14, 0.83]	[10.03, 10.0, 6.27]
23	[-0.04, 0.13, -0.28, -0.04, 0.02, -0.48, -1.0]	[-0.08, 0.2, 0.91]	[-0.11, 0.14, 0.83]	[10.03, 10.0, 6.03]
24	[-0.06, 0.22, -0.27, -0.04, 0.02, -0.46, -1.0]	[-0.08, 0.2, 0.9]	[-0.11, 0.14, 0.83]	[10.04, 10.0, 5.79]
25	[-0.16, 0.18, -0.36, -0.06, 0.02, -0.44, -1.0]	[-0.08, 0.2, 0.9]	[-0.11, 0.14, 0.83]	[10.05, 10.0, 5.55]
26	[-0.27, -0.0, -0.26, -0.05, 0.02, -0.42, -1.0]	[-0.09, 0.2, 0.9]	[-0.11, 0.14, 0.83]	[10.05, 10.0, 5.3]
27	[-0.31, 0.17, -0.14, -0.04, 0.01, -0.39, -1.0]	[-0.09, 0.21, 0.89]	[-0.11, 0.14, 0.83]	[10.06, 10.0, 5.06]
28	[-0.21, 0.14, -0.1, -0.03, 0.01, -0.37, -1.0]	[-0.09, 0.21, 0.89]	[-0.11, 0.14, 0.83]	[10.07, 10.0, 4.82]
29	[-0.27, 0.08, -0.18, -0.03, 0.01, -0.35, -1.0]	[-0.09, 0.21, 0.89]	[-0.11, 0.14, 0.83]	[10.09, 10.0, 4.57]
30	[-0.3, 0.01, -0.25, -0.03, -0.0, -0.32, -1.0]	[-0.1, 0.21, 0.89]	[-0.11, 0.14, 0.83]	[10.1, 10.0, 4.33]
31	[-0.35, -0.0, -0.28, -0.04, -0.01, -0.3, -1.0]	[-0.1, 0.21, 0.89]	[-0.11, 0.14, 0.83]	[10.11, 10.0, 4.08]
32	[-0.27, -0.16, -0.3, -0.03, -0.01, -0.27, -1.0]	[-0.1, 0.21, 0.88]	[-0.11, 0.14, 0.83]	[10.13, 10.0, 3.84]
