step	action	robot0_eef_pos	nut0_pos	nut1_pos
0	[0.0, 0.0, 0.0, 0.0, 0.12, 0.01, -1.0]	[-0.1, -0.01, 1.01]	[-0.11, 0.14, 0.89]	[10.0, 10.0, 10.0]
1	[0.09, 0.13, -0.08, 0.01, 0.11, 0.01, -1.0]	[-0.1, -0.01, 1.01]	[-0.11, 0.14, 0.88]	[10.0, 10.0, 9.99]
2	[0.05, 0.19, -0.12, 0.01, 0.1, 0.01, -1.0]	[-0.1, -0.01, 1.01]	[-0.11, 0.14, 0.84]	[10.0, 10.0, 9.95]
3	[0.18, 0.43, -0.31, 0.01, 0.09, 0.01, -1.0]	[-0.11, -0.0, 1.0]	[-0.11, 0.14, 0.82]	[10.0, 10.0, 9.89]
4	[0.07, 0.52, -0.38, -0.0, 0.09, 0.02, -1.0]	[-0.1, -0.0, 1.0]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 9.81]
5	[0.22, 0.76, -0.53, -0.01, 0.08, 0.03, -1.0]	[-0.1, 0.0, 1.0]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 9.7]
6	[0.18, 0.98, -0.94, -0.01, 0.06, 0.04, -1.0]	[-0.1, 0.01, 0.99]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 9.58]
7	[0.09, 0.49, -0.46, -0.02, 0.05, 0.03, -1.0]	[-0.1, 0.02, 0.98]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 9.44]
8	[0.07, 0.7, -0.6, -0.01, 0.03, 0.03, -1.0]	[-0.1, 0.03, 0.97]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 9.28]
9	[0.02, 0.67, -0.48, -0.0, 0.04, 0.03, -1.0]	[-0.09, 0.04, 0.97]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 9.11]
10	[-0.05, 0.62, -0.46, -0.0, 0.03, 0.03, -1.0]	[-0.09, 0.04, 0.96]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 8.93]
11	[-0.15, 0.52, -0.33, 0.0, 0.05, 0.03, -1.0]	[-0.09, 0.05, 0.95]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 8.74]
12	[-0.24, 0.5, -0.27, 0.0, 0.06, 0.03, -1.0]	[-0.09, 0.06, 0.95]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 8.54]
13	[-0.43, 0.54, -0.41, 0.01, 0.07, 0.03, -1.0]	[-0.1, 0.07, 0.94]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 8.33]
14	[-0.22, 0.19, -0.21, 0.01, 0.07, 0.03, -1.0]	[-0.1, 0.08, 0.94]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 8.12]
15	[-0.28, 0.33, -0.46, 0.01, 0.06, 0.03, -1.0]	[-0.11, 0.08, 0.93]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 7.9]
16	[-0.37, 0.24, -0.49, 0.01, 0.05, 0.02, -1.0]	[-0.11, 0.09, 0.93]	[-0.11, 0.14, 0.83]	[10.01, 10.0, 7.67]
