step	action	robot0_eef_pos	cube_pos	gripper_to_cube_pos
0	[0.61, 1.81, -2.06, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.02, 1.01]	[-0.03, 0.19, 0.82]	[-0.05, -0.17, 0.19]
1	[0.5, 1.69, -1.9, 0.0, 0.0, 0.0, -1.0]	[-0.06, 0.04, 0.99]	[-0.03, 0.19, 0.82]	[-0.04, -0.15, 0.17]
2	[0.37, 1.53, -1.66, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.05, 0.96]	[-0.03, 0.19, 0.82]	[-0.03, -0.14, 0.14]
3	[0.26, 1.37, -1.43, 0.0, 0.0, 0.0, -1.0]	[-0.04, 0.07, 0.94]	[-0.03, 0.19, 0.82]	[-0.02, -0.12, 0.12]
4	[0.18, 1.19, -1.21, 0.0, 0.0, 0.0, -1.0]	[-0.04, 0.09, 0.92]	[-0.03, 0.19, 0.82]	[-0.01, -0.1, 0.1]
5	[0.13, 1.0, -0.98, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.11, 0.9]	[-0.03, 0.19, 0.82]	[-0.01, -0.08, 0.07]
6	[0.09, 0.79, -0.75, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.13, 0.88]	[-0.03, 0.19, 0.82]	[-0.01, -0.06, 0.06]
7	[0.08, 0.59, -0.55, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.15, 0.86]	[-0.03, 0.19, 0.82]	[-0.01, -0.04, 0.04]
8	[0.1, 0.41, -0.4, 0.0, 0.0, 0.0, -1.0]	[-0.04, 0.16, 0.85]	[-0.03, 0.19, 0.82]	[-0.01, -0.03, 0.03]
9	[0.12, 0.28, -0.28, 0.0, 0.0, 0.0, -1.0]	[-0.04, 0.18, 0.84]	[-0.03, 0.2, 0.82]	[-0.01, -0.02, 0.02]
10	[0.13, 0.23, -0.19, 0.0, 0.0, 0.0, -1.0]	[-0.04, 0.19, 0.84]	[-0.03, 0.21, 0.82]	[-0.01, -0.02, 0.01]
11	[0.14, 0.21, -0.11, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.2, 0.83]	[-0.03, 0.22, 0.83]	[-0.02, -0.02, 0.0]
12	[0.15, 0.19, -0.02, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.21, 0.83]	[-0.04, 0.23, 0.82]	[-0.01, -0.02, 0.01]
13	[0.08, 0.18, -0.08, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.21, 0.82]	[-0.04, 0.23, 0.82]	[-0.01, -0.01, 0.0]
14	[0.1, 0.11, -0.05, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.22, 0.82]	[-0.04, 0.23, 0.82]	[-0.01, -0.01, 0.0]
15	[0.1, 0.06, -0.03, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.22, 0.82]	[-0.04, 0.23, 0.82]	[-0.01, -0.0, 0.0]
16	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.05, 0.22, 0.82]	[-0.04, 0.23, 0.82]	[-0.01, -0.0, 0.0]
17	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.05, 0.23, 0.82]	[-0.04, 0.23, 0.82]	[-0.01, 0.0, 0.0]
18	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.05, 0.23, 0.83]	[-0.04, 0.23, 0.82]	[-0.01, -0.0, 0.0]
19	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.05, 0.22, 0.83]	[-0.04, 0.23, 0.83]	[-0.01, -0.0, 0.0]
20	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.05, 0.22, 0.84]	[-0.04, 0.23, 0.83]	[-0.01, -0.0, 0.0]
