step	action	robot0_eef_pos	tool_pos	frame_pos	stand_pos
0	[0.0, 0.0, 0.0, -0.02, 0.21, -0.03, -1.0]	[-0.08, 0.02, 1.03]	[0.03, -0.19, 0.84]	[-0.06, -0.25, 0.84]	[-0.08, 0.0, 0.88]
1	[-0.15, -0.05, -0.0, -0.01, 0.2, -0.02, -1.0]	[-0.09, 0.02, 1.03]	[0.03, -0.19, 0.83]	[-0.06, -0.25, 0.83]	[-0.08, 0.0, 0.88]
2	[-0.22, -0.5, -0.18, -0.02, 0.18, 0.0, -1.0]	[-0.09, 0.02, 1.02]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
3	[-0.24, -0.42, -0.19, -0.0, 0.17, 0.03, -1.0]	[-0.1, 0.01, 1.02]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
4	[-0.11, -0.87, -0.28, 0.01, 0.14, 0.07, -1.0]	[-0.1, 0.01, 1.02]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
5	[-0.1, -0.45, -0.1, 0.02, 0.13, 0.09, -1.0]	[-0.1, 0.0, 1.01]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
6	[-0.22, -0.95, -0.15, 0.02, 0.12, 0.13, -1.0]	[-0.1, -0.0, 1.01]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
7	[-0.16, -0.48, -0.17, 0.0, 0.1, 0.14, -1.0]	[-0.11, -0.01, 1.01]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
8	[-0.18, -0.77, -0.18, -0.02, 0.1, 0.17, -1.0]	[-0.11, -0.02, 1.01]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
9	[-0.14, -0.79, -0.17, -0.04, 0.09, 0.21, -1.0]	[-0.11, -0.03, 1.01]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
10	[-0.08, -0.7, -0.32, -0.08, 0.07, 0.24, -1.0]	[-0.11, -0.04, 1.0]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
11	[0.01, -0.75, -0.26, -0.12, 0.05, 0.28, -1.0]	[-0.11, -0.05, 1.0]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
12	[0.06, -0.81, -0.2, -0.15, 0.06, 0.33, -1.0]	[-0.11, -0.06, 1.0]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
13	[0.06, -0.57, -0.03, -0.15, 0.08, 0.35, -1.0]	[-0.11, -0.07, 0.99]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
14	[0.04, -0.54, -0.11, -0.14, 0.1, 0.37, -1.0]	[-0.11, -0.08, 0.99]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
15	[0.04, -0.62, -0.24, -0.13, 0.1, 0.39, -1.0]	[-0.12, -0.09, 0.99]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
16	[-0.08, -0.55, -0.3, -0.1, 0.1, 0.4, -1.0]	[-0.12, -0.1, 0.99]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
17	[-0.12, -0.57, -0.46, -0.09, 0.1, 0.42, -1.0]	[-0.12, -0.11, 0.98]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
18	[0.29, -0.64, -0.46, -0.09, 0.08, 0.46, -1.0]	[-0.12, -0.11, 0.98]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
19	[0.47, -0.61, -0.54, -0.07, 0.07, 0.49, -1.0]	[-0.12, -0.12, 0.97]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
20	[0.26, -0.49, -0.36, -0.04, 0.1, 0.49, -1.0]	[-0.11, -0.13, 0.97]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
21	[0.14, -0.38, -0.44, -0.01, 0.1, 0.5, -1.0]	[-0.11, -0.13, 0.96]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
22	[0.32, -0.4, -0.4, -0.01, 0.1, 0.53, -1.0]	[-0.11, -0.14, 0.95]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
23	[0.22, -0.28, -0.13, -0.01, 0.1, 0.51, -1.0]	[-0.1, -0.14, 0.95]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
24	[0.47, -0.35, -0.22, -0.02, 0.1, 0.52, -1.0]	[-0.1, -0.14, 0.94]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
25	[0.32, -0.44, -0.36, -0.01, 0.1, 0.52, -1.0]	[-0.1, -0.15, 0.94]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
26	[0.28, -0.43, -0.39, 0.0, 0.11, 0.5, -1.0]	[-0.09, -0.15, 0.93]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
27	[0.22, -0.26, -0.28, 0.01, 0.12, 0.49, -1.0]	[-0.09, -0.16, 0.93]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
28	[0.25, -0.25, -0.21, 0.01, 0.12, 0.47, -1.0]	[-0.09, -0.16, 0.92]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
29	[0.21, -0.3, -0.18, 0.01, 0.1, 0.45, -1.0]	[-0.09, -0.16, 0.92]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
30	[0.17, -0.3, -0.06, 0.01, 0.1, 0.43, -1.0]	[-0.08, -0.17, 0.92]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
31	[0.23, -0.17, 0.09, -0.0, 0.08, 0.41, -1.0]	[-0.08, -0.17, 0.91]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
32	[0.25, -0.3, -0.01, -0.01, 0.07, 0.4, -1.0]	[-0.08, -0.17, 0.91]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
33	[0.28, -0.26, 0.02, -0.02, 0.06, 0.38, -1.0]	[-0.08, -0.18, 0.91]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
34	[0.16, -0.42, -0.16, -0.01, 0.06, 0.36, -1.0]	[-0.07, -0.18, 0.92]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
35	[0.01, -0.28, -0.09, -0.01, 0.05, 0.32, -1.0]	[-0.07, -0.19, 0.91]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
36	[0.02, -0.36, -0.19, -0.01, 0.04, 0.29, -1.0]	[-0.07, -0.19, 0.91]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
37	[-0.01, -0.47, -0.2, -0.01, 0.03, 0.26, -1.0]	[-0.07, -0.2, 0.91]	[0.03, -0.19, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
