step	action	robot0_eef_pos	cube_pos	gripper_to_cube_pos
0	[-0.28, 0.67, -1.88, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.03, 0.99]	[-0.14, 0.08, 0.82]	[0.03, -0.06, 0.17]
1	[-0.26, 0.59, -1.73, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.04, 0.97]	[-0.14, 0.08, 0.82]	[0.02, -0.05, 0.15]
2	[-0.24, 0.49, -1.52, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.04, 0.95]	[-0.14, 0.08, 0.82]	[0.02, -0.04, 0.13]
3	[-0.21, 0.41, -1.31, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.05, 0.93]	[-0.14, 0.08, 0.82]	[0.02, -0.03, 0.11]
4	[-0.18, 0.34, -1.09, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.06, 0.91]	[-0.14, 0.08, 0.82]	[0.02, -0.03, 0.09]
5	[-0.15, 0.29, -0.86, 0.0, 0.0, 0.0, -1.0]	[-0.13, 0.06, 0.89]	[-0.14, 0.08, 0.82]	[0.01, -0.02, 0.07]
6	[-0.11, 0.23, -0.65, 0.0, 0.0, 0.0, -1.0]	[-0.13, 0.07, 0.87]	[-0.14, 0.08, 0.82]	[0.01, -0.02, 0.05]
7	[-0.06, 0.18, -0.48, 0.0, 0.0, 0.0, -1.0]	[-0.14, 0.07, 0.86]	[-0.14, 0.08, 0.82]	[0.0, -0.01, 0.03]
8	[-0.0, 0.12, -0.34, 0.0, 0.0, 0.0, -1.0]	[-0.14, 0.08, 0.85]	[-0.14, 0.08, 0.82]	[-0.01, -0.01, 0.02]
9	[0.05, 0.05, -0.24, 0.0, 0.0, 0.0, -1.0]	[-0.15, 0.08, 0.84]	[-0.14, 0.08, 0.82]	[-0.01, 0.0, 0.02]
10	[0.09, -0.0, -0.15, 0.0, 0.0, 0.0, -1.0]	[-0.15, 0.09, 0.83]	[-0.14, 0.08, 0.82]	[-0.01, 0.0, 0.01]
11	[0.12, -0.05, -0.1, 0.0, 0.0, 0.0, -1.0]	[-0.15, 0.09, 0.83]	[-0.14, 0.08, 0.82]	[-0.01, 0.01, 0.01]
12	[0.12, -0.08, -0.06, 0.0, 0.0, 0.0, -1.0]	[-0.15, 0.09, 0.83]	[-0.14, 0.08, 0.82]	[-0.01, 0.01, 0.01]
13	[0.12, -0.09, -0.05, 0.0, 0.0, 0.0, -1.0]	[-0.15, 0.09, 0.82]	[-0.14, 0.08, 0.82]	[-0.01, 0.01, 0.0]
