step	action	robot0_eef_pos	nut0_pos	nut1_pos
0	[0.0, 0.0, 0.0, 0.04, -1.0, 0.01, -1.0]	[-0.11, 0.0, 1.0]	[-0.11, 0.17, 0.89]	[10.0, 10.0, 10.0]
1	[0.16, -0.03, -0.06, 0.01, 0.12, -0.02, -1.0]	[-0.1, 0.0, 1.01]	[-0.11, 0.17, 0.88]	[10.0, 10.0, 9.99]
2	[0.3, 0.04, 0.17, 0.01, 0.13, -0.0, -1.0]	[-0.09, 0.0, 1.01]	[-0.11, 0.17, 0.84]	[10.0, 10.0, 9.95]
3	[0.36, -0.09, -0.15, 0.01, 0.11, 0.02, -1.0]	[-0.09, 0.0, 1.01]	[-0.11, 0.17, 0.82]	[10.0, 10.0, 9.89]
4	[0.34, 0.2, -0.12, -0.01, 0.09, 0.04, -1.0]	[-0.09, 0.0, 1.01]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 9.81]
5	[0.32, 0.16, -0.3, -0.02, 0.07, 0.06, -1.0]	[-0.09, 0.0, 1.01]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 9.7]
6	[0.2, 0.27, -0.1, -0.01, 0.06, 0.09, -1.0]	[-0.08, 0.01, 1.01]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 9.58]
7	[0.21, 0.27, -0.2, -0.02, 0.06, 0.1, -1.0]	[-0.08, 0.01, 1.0]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 9.44]
8	[0.14, 0.47, -0.09, -0.02, 0.06, 0.12, -1.0]	[-0.07, 0.01, 1.0]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 9.28]
9	[0.04, 0.39, -0.37, -0.0, 0.05, 0.13, -1.0]	[-0.07, 0.01, 1.0]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 9.11]
10	[-0.0, 0.36, -0.24, 0.01, 0.04, 0.14, -1.0]	[-0.07, 0.02, 1.0]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 8.93]
11	[-0.04, 0.37, -0.45, 0.03, 0.04, 0.16, -1.0]	[-0.07, 0.03, 0.99]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 8.74]
12	[-0.05, 0.42, -0.55, 0.05, 0.04, 0.17, -1.0]	[-0.07, 0.03, 0.99]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 8.54]
13	[-0.21, 0.41, -0.45, 0.06, 0.04, 0.17, -1.0]	[-0.07, 0.04, 0.98]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 8.33]
14	[-0.31, 0.33, -0.43, 0.06, 0.04, 0.18, -1.0]	[-0.07, 0.05, 0.98]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 8.12]
15	[-0.25, 0.29, -0.37, 0.06, 0.03, 0.19, -1.0]	[-0.07, 0.05, 0.97]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 7.9]
16	[-0.2, 0.32, -0.3, 0.05, 0.03, 0.21, -1.0]	[-0.07, 0.06, 0.97]	[-0.11, 0.17, 0.83]	[10.01, 10.0, 7.67]
17	[-0.28, 0.21, -0.23, 0.04, 0.04, 0.22, -1.0]	[-0.08, 0.06, 0.96]	[-0.11, 0.17, 0.83]	[10.01, 10.0, 7.45]
18	[-0.3, 0.25, -0.29, 0.02, 0.05, 0.22, -1.0]	[-0.08, 0.06, 0.96]	[-0.11, 0.17, 0.83]	[10.01, 10.0, 7.22]
19	[-0.38, 0.17, -0.44, 0.01, 0.04, 0.23, -1.0]	[-0.08, 0.07, 0.96]	[-0.11, 0.17, 0.83]	[10.01, 10.0, 6.98]
20	[-0.37, 0.26, -0.49, 0.02, 0.04, 0.23, -1.0]	[-0.09, 0.07, 0.95]	[-0.11, 0.17, 0.83]	[10.02, 10.0, 6.75]
21	[-0.32, 0.11, -0.49, 0.02, 0.04, 0.23, -1.0]	[-0.09, 0.07, 0.95]	[-0.11, 0.17, 0.83]	[10.02, 10.0, 6.51]
22	[-0.31, 0.14, -0.48, 0.01, 0.03, 0.25, -1.0]	[-0.09, 0.07, 0.94]	[-0.11, 0.17, 0.83]	[10.03, 10.0, 6.27]
23	[-0.37, 0.25, -0.57, 0.02, 0.02, 0.26, -1.0]	[-0.1, 0.08, 0.94]	[-0.11, 0.17, 0.83]	[10.03, 10.0, 6.03]
24	[-0.34, 0.33, -0.51, 0.01, 0.01, 0.24, -1.0]	[-0.1, 0.08, 0.93]	[-0.11, 0.17, 0.83]	[10.04, 10.0, 5.79]
25	[-0.37, 0.32, -0.54, 0.01, -0.01, 0.22, -1.0]	[-0.11, 0.08, 0.92]	[-0.11, 0.17, 0.83]	[10.05, 10.0, 5.55]
26	[-0.4, 0.35, -0.5, 0.02, -0.01, 0.2, -1.0]	[-0.11, 0.08, 0.92]	[-0.11, 0.17, 0.83]	[10.05, 10.0, 5.3]
27	[-0.38, 0.27, -0.43, 0.02, -0.0, 0.19, -1.0]	[-0.12, 0.09, 0.91]	[-0.11, 0.17, 0.83]	[10.06, 10.0, 5.06]
28	[-0.38, 0.36, -0.42, 0.03, -0.01, 0.17, -1.0]	[-0.12, 0.09, 0.9]	[-0.11, 0.17, 0.83]	[10.07, 10.0, 4.82]
29	[-0.36, 0.29, -0.52, 0.03, -0.01, 0.15, -1.0]	[-0.12, 0.1, 0.9]	[-0.11, 0.17, 0.83]	[10.09, 10.0, 4.57]
30	[-0.26, 0.27, -0.37, 0.03, -0.02, 0.13, -1.0]	[-0.13, 0.1, 0.89]	[-0.11, 0.17, 0.83]	[10.1, 10.0, 4.33]
31	[-0.3, 0.27, -0.46, 0.03, -0.02, 0.12, -1.0]	[-0.13, 0.1, 0.89]	[-0.11, 0.17, 0.83]	[10.11, 10.0, 4.08]
32	[-0.23, 0.22, -0.29, 0.03, -0.02, 0.1, -1.0]	[-0.14, 0.11, 0.88]	[-0.11, 0.17, 0.83]	[10.13, 10.0, 3.84]
33	[-0.29, 0.29, -0.38, 0.03, -0.02, 0.09, -1.0]	[-0.14, 0.11, 0.88]	[-0.11, 0.17, 0.83]	[10.15, 10.0, 3.59]
34	[-0.26, 0.26, -0.27, 0.03, -0.01, 0.08, -1.0]	[-0.14, 0.11, 0.87]	[-0.11, 0.17, 0.83]	[10.16, 10.0, 3.34]
35	[-0.31, 0.25, -0.29, 0.03, -0.01, 0.08, -1.0]	[-0.15, 0.12, 0.87]	[-0.11, 0.17, 0.83]	[10.18, 10.0, 3.1]
36	[-0.29, 0.19, -0.1, 0.02, -0.0, 0.08, -1.0]	[-0.15, 0.12, 0.86]	[-0.11, 0.17, 0.83]	[10.2, 10.0, 2.85]
37	[-0.37, 0.19, -0.22, 0.01, -0.01, 0.07, -1.0]	[-0.16, 0.12, 0.86]	[-0.11, 0.17, 0.83]	[10.23, 10.0, 2.6]
38	[-0.31, 0.14, -0.27, 0.01, -0.01, 0.06, -1.0]	[-0.16, 0.12, 0.86]	[-0.11, 0.17, 0.83]	[10.25, 10.0, 2.36]
39	[-0.28, 0.17, -0.32, 0.0, -0.02, 0.06, -1.0]	[-0.16, 0.13, 0.86]	[-0.11, 0.17, 0.83]	[10.28, 10.0, 2.11]
40	[-0.16, 0.12, -0.32, 0.0, -0.02, 0.05, -1.0]	[-0.17, 0.13, 0.85]	[-0.11, 0.17, 0.83]	[10.3, 10.0, 1.86]
41	[-0.11, 0.13, -0.41, -0.0, -0.03, 0.04, -1.0]	[-0.17, 0.13, 0.85]	[-0.11, 0.17, 0.83]	[10.33, 10.0, 1.62]
42	[-0.05, 0.03, -0.56, -0.0, -0.04, 0.04, -1.0]	[-0.17, 0.13, 0.84]	[-0.11, 0.17, 0.83]	[10.36, 10.0, 1.37]
