step	action	robot0_eef_pos	cube_pos	gripper_to_cube_pos
0	[1.42, 2.13, -1.77, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.01, 0.98]	[0.02, 0.19, 0.82]	[-0.13, -0.2, 0.16]
1	[1.26, 1.99, -1.61, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.0, 0.96]	[0.02, 0.19, 0.82]	[-0.1, -0.18, 0.14]
2	[1.04, 1.81, -1.35, 0.0, 0.0, 0.0, -1.0]	[-0.07, 0.02, 0.93]	[0.02, 0.19, 0.82]	[-0.08, -0.16, 0.11]
3	[0.83, 1.63, -1.1, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.04, 0.91]	[0.02, 0.19, 0.82]	[-0.06, -0.14, 0.09]
4	[0.65, 1.42, -0.85, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.07, 0.88]	[0.02, 0.19, 0.82]	[-0.05, -0.12, 0.06]
5	[0.5, 1.19, -0.63, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.09, 0.87]	[0.02, 0.19, 0.82]	[-0.04, -0.09, 0.05]
6	[0.4, 0.95, -0.46, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.11, 0.85]	[0.02, 0.19, 0.82]	[-0.03, -0.07, 0.03]
7	[0.32, 0.71, -0.33, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.13, 0.85]	[0.02, 0.19, 0.82]	[-0.03, -0.05, 0.03]
8	[0.27, 0.53, -0.27, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.15, 0.84]	[0.02, 0.19, 0.81]	[-0.02, -0.04, 0.03]
9	[0.24, 0.41, -0.27, 0.0, 0.0, 0.0, -1.0]	[-0.0, 0.16, 0.84]	[0.02, 0.19, 0.81]	[-0.02, -0.03, 0.03]
10	[0.22, 0.32, -0.28, 0.0, 0.0, 0.0, -1.0]	[0.0, 0.16, 0.84]	[0.02, 0.19, 0.81]	[-0.02, -0.03, 0.03]
11	[0.19, 0.26, -0.28, 0.0, 0.0, 0.0, -1.0]	[0.01, 0.17, 0.84]	[0.02, 0.19, 0.81]	[-0.02, -0.02, 0.03]
12	[0.16, 0.22, -0.29, 0.0, 0.0, 0.0, -1.0]	[0.01, 0.17, 0.84]	[0.03, 0.19, 0.81]	[-0.01, -0.02, 0.03]
13	[0.13, 0.21, -0.3, 0.0, 0.0, 0.0, -1.0]	[0.02, 0.17, 0.84]	[0.03, 0.19, 0.81]	[-0.01, -0.02, 0.03]
14	[0.08, 0.21, -0.31, 0.0, 0.0, 0.0, -1.0]	[0.03, 0.17, 0.84]	[0.04, 0.19, 0.81]	[-0.0, -0.02, 0.03]
15	[0.02, 0.21, -0.32, 0.0, 0.0, 0.0, -1.0]	[0.05, 0.17, 0.85]	[0.04, 0.19, 0.82]	[0.0, -0.02, 0.03]
16	[-0.05, 0.23, -0.32, 0.0, 0.0, 0.0, -1.0]	[0.05, 0.17, 0.85]	[0.04, 0.2, 0.82]	[0.01, -0.03, 0.03]
17	[-0.1, 0.26, -0.31, 0.0, 0.0, 0.0, -1.0]	[0.06, 0.17, 0.85]	[0.05, 0.2, 0.82]	[0.01, -0.03, 0.03]
18	[-0.12, 0.26, -0.28, 0.0, 0.0, 0.0, -1.0]	[0.07, 0.17, 0.85]	[0.05, 0.2, 0.82]	[0.01, -0.03, 0.03]
19	[-0.14, 0.28, -0.27, 0.0, 0.0, 0.0, -1.0]	[0.07, 0.18, 0.85]	[0.05, 0.2, 0.82]	[0.02, -0.03, 0.03]
20	[-0.15, 0.29, -0.26, 0.0, 0.0, 0.0, -1.0]	[0.07, 0.18, 0.85]	[0.06, 0.21, 0.82]	[0.02, -0.03, 0.02]
21	[-0.16, 0.29, -0.25, 0.0, 0.0, 0.0, -1.0]	[0.07, 0.19, 0.85]	[0.06, 0.22, 0.82]	[0.02, -0.03, 0.02]
22	[-0.16, 0.29, -0.22, 0.0, 0.0, 0.0, -1.0]	[0.07, 0.2, 0.84]	[0.06, 0.22, 0.83]	[0.02, -0.03, 0.02]
23	[-0.16, 0.25, -0.19, 0.0, 0.0, 0.0, -1.0]	[0.07, 0.21, 0.84]	[0.05, 0.23, 0.83]	[0.01, -0.02, 0.02]
24	[-0.15, 0.22, -0.16, 0.0, 0.0, 0.0, -1.0]	[0.07, 0.21, 0.84]	[0.05, 0.23, 0.82]	[0.02, -0.02, 0.02]
25	[-0.2, 0.18, -0.17, 0.0, 0.0, 0.0, -1.0]	[0.06, 0.22, 0.84]	[0.04, 0.23, 0.82]	[0.02, -0.01, 0.02]
26	[-0.18, 0.13, -0.15, 0.0, 0.0, 0.0, -1.0]	[0.06, 0.22, 0.83]	[0.05, 0.23, 0.82]	[0.01, -0.01, 0.01]
27	[-0.14, 0.09, -0.12, 0.0, 0.0, 0.0, -1.0]	[0.06, 0.22, 0.83]	[0.05, 0.23, 0.82]	[0.01, -0.01, 0.01]
28	[-0.1, 0.06, -0.09, 0.0, 0.0, 0.0, -1.0]	[0.05, 0.23, 0.83]	[0.05, 0.23, 0.82]	[0.01, -0.0, 0.01]
29	[-0.08, 0.04, -0.07, 0.0, 0.0, 0.0, -1.0]	[0.05, 0.23, 0.83]	[0.05, 0.23, 0.82]	[0.01, -0.0, 0.0]
30	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.05, 0.23, 0.82]	[0.05, 0.23, 0.82]	[0.0, -0.0, 0.0]
31	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.05, 0.23, 0.82]	[0.05, 0.23, 0.82]	[0.0, -0.0, 0.0]
32	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.05, 0.23, 0.83]	[0.05, 0.23, 0.82]	[0.0, -0.0, 0.01]
33	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.05, 0.23, 0.83]	[0.05, 0.23, 0.83]	[0.0, -0.0, 0.01]
34	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.05, 0.23, 0.84]	[0.04, 0.23, 0.83]	[0.0, -0.0, 0.01]
35	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.05, 0.23, 0.85]	[0.04, 0.23, 0.84]	[0.0, -0.0, 0.01]
36	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.05, 0.23, 0.85]	[0.04, 0.23, 0.84]	[0.0, -0.0, 0.01]
37	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.05, 0.23, 0.86]	[0.04, 0.23, 0.85]	[0.0, -0.0, 0.01]
