step	subtask	stage
0	Move to above Cube A	0
1	Move to above Cube A	0
2	Move to above Cube A	0
3	Move to above Cube A	0
4	Move to above Cube A	0
5	Move to above Cube A	0
6	Move to above Cube A	0
7	Move to above Cube A	0
8	Move to above Cube A	0
9	Move to above Cube A	0
10	Move to above Cube A	0
11	Move to above Cube A	0
12	Move to above Cube A	0
13	Move to above Cube A	0
14	Move to above Cube A	0
15	Move to above Cube A	0
16	Move to above Cube A	0
17	Move to above Cube A	0
18	Move directly down to Cube A	1
19	Move directly down to Cube A	1
20	Move directly down to Cube A	1
21	Move directly down to Cube A	1
22	Move directly down to Cube A	1
23	Move directly down to Cube A	1
24	Move directly down to Cube A	1
25	Move directly down to Cube A	1
26	Move directly down to Cube A	1
27	Move directly down to Cube A	1
28	Move directly down to Cube A	1
29	Move directly down to Cube A	1
30	Move directly down to Cube A	1
31	Move directly down to Cube A	1
32	Move directly down to Cube A	1
33	Move directly down to Cube A	1
34	Move directly down to Cube A	1
35	Move directly down to Cube A	1
36	Move directly down to Cube A	1
37	Move directly down to Cube A	1
38	Move directly down to Cube A	1
39	Move directly down to Cube A	1
40	Grasp Cube A	2
41	Grasp Cube A	2
42	Vertically pick up Cube A	3
43	Vertically pick up Cube A	3
44	Vertically pick up Cube A	3
45	Vertically pick up Cube A	3
46	Vertically pick up Cube A	3
47	Vertically pick up Cube A	3
48	Vertically pick up Cube A	3
49	Vertically pick up Cube A	3
50	Vertically pick up Cube A	3
51	Vertically pick up Cube A	3
52	Vertically pick up Cube A	3
53	Vertically pick up Cube A	3
54	Vertically pick up Cube A	3
55	Vertically pick up Cube A	3
56	Align Cube A with Cube B	4
57	Align Cube A with Cube B	4
58	Align Cube A with Cube B	4
59	Align Cube A with Cube B	4
60	Align Cube A with Cube B	4
61	Align Cube A with Cube B	4
62	Align Cube A with Cube B	4
63	Align Cube A with Cube B	4
64	Align Cube A with Cube B	4
65	Align Cube A with Cube B	4
66	Align Cube A with Cube B	4
67	Align Cube A with Cube B	4
68	Align Cube A with Cube B	4
69	Align Cube A with Cube B	4
70	Align Cube A with Cube B	4
71	Align Cube A with Cube B	4
72	Move Cube A vertically down to Cube B	5
73	Move Cube A vertically down to Cube B	5
74	Move Cube A vertically down to Cube B	5
75	Move Cube A vertically down to Cube B	5
76	Move Cube A vertically down to Cube B	5
77	Move Cube A vertically down to Cube B	5
78	Move Cube A vertically down to Cube B	5
79	Release Cube A onto Cube B	6
