step	action	robot0_eef_pos	tool_pos	frame_pos	stand_pos
0	[-0.14, -0.04, -0.13, 0.01, 0.12, -0.03, -1.0]	[-0.1, 0.01, 1.01]	[0.02, -0.2, 0.84]	[-0.03, -0.25, 0.84]	[-0.08, 0.0, 0.88]
1	[-0.3, -0.61, -0.34, 0.01, 0.11, 0.01, -1.0]	[-0.1, 0.0, 1.01]	[0.02, -0.2, 0.83]	[-0.03, -0.25, 0.83]	[-0.08, 0.0, 0.88]
2	[-0.23, -0.8, -0.28, 0.02, 0.1, 0.04, -1.0]	[-0.11, 0.0, 1.01]	[0.02, -0.2, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
3	[-0.24, -0.92, -0.18, 0.02, 0.1, 0.08, -1.0]	[-0.11, -0.0, 1.0]	[0.02, -0.2, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
4	[-0.24, -0.93, -0.23, 0.02, 0.1, 0.12, -1.0]	[-0.11, -0.01, 1.0]	[0.02, -0.2, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
5	[-0.15, -1.0, -0.2, 0.01, 0.09, 0.16, -1.0]	[-0.12, -0.02, 1.0]	[0.02, -0.2, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
6	[-0.1, -1.0, -0.17, -0.01, 0.09, 0.2, -1.0]	[-0.12, -0.03, 0.99]	[0.02, -0.2, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
7	[0.11, -1.0, -0.14, -0.02, 0.11, 0.23, -1.0]	[-0.12, -0.04, 0.99]	[0.02, -0.2, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
8	[0.15, -0.8, -0.24, -0.06, 0.12, 0.25, -1.0]	[-0.12, -0.06, 0.99]	[0.02, -0.2, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
9	[-0.06, -0.75, -0.43, -0.06, 0.11, 0.25, -1.0]	[-0.12, -0.07, 0.98]	[0.02, -0.2, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
10	[0.22, -0.53, -0.14, -0.09, 0.11, 0.26, -1.0]	[-0.12, -0.08, 0.98]	[0.02, -0.2, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
11	[0.1, -0.87, -0.13, -0.12, 0.11, 0.29, -1.0]	[-0.12, -0.09, 0.97]	[0.02, -0.2, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
