step	action	robot0_eef_pos	cube_pos	gripper_to_cube_pos
0	[2.7, 2.06, -1.78, 0.0, 0.0, 0.0, -1.0]	[-0.09, -0.0, 0.98]	[0.16, 0.19, 0.82]	[-0.25, -0.19, 0.16]
1	[2.53, 1.92, -1.6, 0.0, 0.0, 0.0, -1.0]	[-0.07, 0.02, 0.96]	[0.16, 0.19, 0.82]	[-0.23, -0.18, 0.13]
2	[2.32, 1.76, -1.35, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.03, 0.93]	[0.16, 0.19, 0.82]	[-0.21, -0.16, 0.11]
3	[2.11, 1.57, -1.1, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.05, 0.91]	[0.16, 0.19, 0.82]	[-0.19, -0.14, 0.08]
4	[1.91, 1.37, -0.84, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.08, 0.88]	[0.16, 0.19, 0.82]	[-0.17, -0.11, 0.06]
5	[1.71, 1.14, -0.61, 0.0, 0.0, 0.0, -1.0]	[0.01, 0.1, 0.86]	[0.16, 0.19, 0.82]	[-0.15, -0.09, 0.04]
6	[1.52, 0.89, -0.43, 0.0, 0.0, 0.0, -1.0]	[0.03, 0.13, 0.85]	[0.16, 0.19, 0.82]	[-0.13, -0.06, 0.03]
7	[1.33, 0.64, -0.3, 0.0, 0.0, 0.0, -1.0]	[0.05, 0.15, 0.84]	[0.16, 0.19, 0.82]	[-0.11, -0.04, 0.02]
8	[1.15, 0.43, -0.2, 0.0, 0.0, 0.0, -1.0]	[0.07, 0.16, 0.83]	[0.16, 0.19, 0.82]	[-0.1, -0.03, 0.01]
9	[0.96, 0.27, -0.13, 0.0, 0.0, 0.0, -1.0]	[0.08, 0.18, 0.83]	[0.16, 0.19, 0.82]	[-0.08, -0.02, 0.01]
10	[0.77, 0.15, -0.08, 0.0, 0.0, 0.0, -1.0]	[0.1, 0.18, 0.83]	[0.16, 0.19, 0.82]	[-0.06, -0.01, 0.01]
11	[0.59, 0.08, -0.06, 0.0, 0.0, 0.0, -1.0]	[0.12, 0.19, 0.83]	[0.16, 0.19, 0.82]	[-0.04, -0.0, 0.01]
12	[0.44, 0.05, -0.06, 0.0, 0.0, 0.0, -1.0]	[0.13, 0.19, 0.83]	[0.16, 0.19, 0.82]	[-0.03, -0.0, 0.01]
13	[0.31, 0.03, -0.06, 0.0, 0.0, 0.0, -1.0]	[0.14, 0.19, 0.83]	[0.16, 0.19, 0.82]	[-0.02, -0.0, 0.01]
14	[0.2, 0.03, -0.06, 0.0, 0.0, 0.0, -1.0]	[0.15, 0.19, 0.83]	[0.16, 0.19, 0.82]	[-0.01, -0.0, 0.01]
15	[0.12, 0.02, -0.07, 0.0, 0.0, 0.0, -1.0]	[0.15, 0.19, 0.83]	[0.16, 0.19, 0.82]	[-0.01, -0.0, 0.01]
16	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.19, 0.83]	[0.16, 0.19, 0.82]	[-0.0, -0.0, 0.01]
17	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.19, 0.83]	[0.16, 0.19, 0.82]	[-0.0, 0.0, 0.01]
18	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.19, 0.84]	[0.16, 0.19, 0.83]	[0.0, -0.0, 0.01]
19	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.19, 0.85]	[0.16, 0.19, 0.83]	[0.0, -0.0, 0.01]
20	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.19, 0.85]	[0.17, 0.19, 0.84]	[0.0, -0.0, 0.01]
21	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.19, 0.86]	[0.17, 0.19, 0.85]	[0.0, -0.0, 0.01]
22	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.19, 0.86]	[0.17, 0.19, 0.85]	[0.0, -0.0, 0.01]
23	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.19, 0.87]	[0.17, 0.19, 0.86]	[0.0, -0.0, 0.01]
24	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.19, 0.88]	[0.17, 0.19, 0.86]	[0.0, -0.0, 0.01]
25	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.19, 0.88]	[0.17, 0.19, 0.87]	[0.0, -0.0, 0.01]
26	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.19, 0.89]	[0.17, 0.19, 0.87]	[0.0, -0.0, 0.01]
27	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.19, 0.89]	[0.17, 0.19, 0.88]	[0.0, -0.0, 0.01]
28	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.19, 0.89]	[0.17, 0.19, 0.87]	[0.0, -0.0, 0.01]
29	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.19, 0.89]	[0.17, 0.19, 0.87]	[0.0, -0.0, 0.01]
30	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.19, 0.89]	[0.17, 0.19, 0.87]	[0.0, -0.0, 0.01]
31	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.19, 0.89]	[0.16, 0.19, 0.87]	[0.0, -0.0, 0.01]
32	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.19, 0.89]	[0.16, 0.19, 0.87]	[0.0, -0.0, 0.01]
33	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.19, 0.89]	[0.16, 0.19, 0.87]	[0.0, -0.0, 0.01]
34	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.19, 0.89]	[0.16, 0.19, 0.87]	[0.0, -0.0, 0.01]
35	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.19, 0.89]	[0.16, 0.19, 0.87]	[0.0, -0.0, 0.01]
36	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.19, 0.89]	[0.16, 0.19, 0.87]	[0.0, -0.0, 0.01]
