step	action	robot0_eef_pos	cube_pos	gripper_to_cube_pos
0	[-0.02, 0.58, -1.73, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.0, 0.98]	[-0.12, 0.05, 0.82]	[0.0, -0.05, 0.16]
1	[-0.03, 0.49, -1.57, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.01, 0.95]	[-0.12, 0.05, 0.82]	[0.0, -0.04, 0.13]
2	[-0.05, 0.39, -1.34, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.01, 0.93]	[-0.12, 0.05, 0.82]	[0.0, -0.03, 0.11]
3	[-0.04, 0.31, -1.12, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.02, 0.91]	[-0.12, 0.05, 0.82]	[0.0, -0.02, 0.09]
4	[-0.03, 0.24, -0.88, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.03, 0.89]	[-0.12, 0.05, 0.82]	[0.0, -0.02, 0.07]
5	[-0.01, 0.18, -0.66, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.03, 0.87]	[-0.12, 0.05, 0.82]	[-0.0, -0.01, 0.05]
6	[0.02, 0.14, -0.48, 0.0, 0.0, 0.0, -1.0]	[-0.13, 0.04, 0.85]	[-0.12, 0.05, 0.82]	[-0.0, -0.01, 0.03]
7	[0.05, 0.1, -0.35, 0.0, 0.0, 0.0, -1.0]	[-0.13, 0.04, 0.84]	[-0.12, 0.05, 0.82]	[-0.01, -0.01, 0.02]
8	[0.07, 0.06, -0.25, 0.0, 0.0, 0.0, -1.0]	[-0.13, 0.04, 0.84]	[-0.12, 0.05, 0.82]	[-0.01, -0.0, 0.02]
9	[0.08, 0.03, -0.17, 0.0, 0.0, 0.0, -1.0]	[-0.13, 0.04, 0.83]	[-0.12, 0.05, 0.82]	[-0.01, -0.0, 0.01]
10	[0.08, 0.01, -0.12, 0.0, 0.0, 0.0, -1.0]	[-0.13, 0.05, 0.83]	[-0.12, 0.05, 0.82]	[-0.01, 0.0, 0.01]
11	[0.07, -0.01, -0.08, 0.0, 0.0, 0.0, -1.0]	[-0.13, 0.05, 0.83]	[-0.12, 0.05, 0.82]	[-0.01, 0.0, 0.01]
12	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.83]	[-0.12, 0.05, 0.82]	[-0.01, 0.0, 0.01]
13	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.83]	[-0.12, 0.05, 0.82]	[-0.01, 0.0, 0.01]
14	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.83]	[-0.12, 0.05, 0.82]	[-0.01, 0.0, 0.01]
15	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.83]	[-0.12, 0.05, 0.83]	[-0.01, 0.0, 0.01]
16	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.84]	[-0.12, 0.05, 0.83]	[-0.01, 0.0, 0.01]
17	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.85]	[-0.12, 0.05, 0.84]	[-0.01, 0.0, 0.01]
18	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.85]	[-0.12, 0.05, 0.84]	[-0.01, 0.0, 0.01]
19	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.86]	[-0.12, 0.05, 0.85]	[-0.01, 0.0, 0.01]
20	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.86]	[-0.12, 0.05, 0.86]	[-0.01, 0.0, 0.01]
21	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.87]	[-0.13, 0.05, 0.86]	[-0.01, 0.0, 0.01]
22	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.87]	[-0.13, 0.05, 0.87]	[-0.01, 0.0, 0.01]
23	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
24	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
25	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
26	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
27	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
28	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
29	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
30	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
31	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
32	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
33	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
34	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
35	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
36	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
37	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
38	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
39	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
40	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
41	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
42	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
43	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
44	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.13, 0.05, 0.88]	[-0.12, 0.05, 0.87]	[-0.01, 0.0, 0.01]
