step	action	robot0_eef_pos	cube_pos	gripper_to_cube_pos
0	[2.76, -1.02, -1.85, 0.0, 0.0, 0.0, -1.0]	[-0.09, -0.0, 0.99]	[0.17, -0.09, 0.82]	[-0.26, 0.09, 0.16]
1	[2.58, -0.86, -1.65, 0.0, 0.0, 0.0, -1.0]	[-0.07, -0.02, 0.96]	[0.17, -0.09, 0.82]	[-0.24, 0.07, 0.14]
2	[2.39, -0.73, -1.43, 0.0, 0.0, 0.0, -1.0]	[-0.05, -0.03, 0.94]	[0.17, -0.09, 0.82]	[-0.22, 0.06, 0.12]
3	[2.18, -0.58, -1.17, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.05, 0.91]	[0.17, -0.09, 0.82]	[-0.2, 0.04, 0.09]
4	[1.98, -0.44, -0.91, 0.0, 0.0, 0.0, -1.0]	[-0.01, -0.06, 0.89]	[0.17, -0.09, 0.82]	[-0.18, 0.03, 0.07]
5	[1.78, -0.31, -0.67, 0.0, 0.0, 0.0, -1.0]	[0.01, -0.07, 0.87]	[0.17, -0.09, 0.82]	[-0.16, 0.02, 0.05]
6	[1.59, -0.19, -0.48, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.08, 0.85]	[0.17, -0.09, 0.82]	[-0.14, 0.01, 0.03]
7	[1.4, -0.09, -0.33, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.09, 0.84]	[0.17, -0.09, 0.82]	[-0.12, 0.0, 0.02]
8	[1.2, -0.02, -0.23, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.09, 0.84]	[0.17, -0.09, 0.82]	[-0.1, -0.0, 0.02]
9	[1.0, 0.02, -0.15, 0.0, 0.0, 0.0, -1.0]	[0.09, -0.09, 0.83]	[0.17, -0.09, 0.82]	[-0.08, -0.0, 0.01]
10	[0.79, 0.03, -0.1, 0.0, 0.0, 0.0, -1.0]	[0.11, -0.09, 0.83]	[0.17, -0.09, 0.82]	[-0.06, -0.0, 0.01]
11	[0.6, 0.03, -0.08, 0.0, 0.0, 0.0, -1.0]	[0.12, -0.09, 0.83]	[0.17, -0.09, 0.82]	[-0.04, -0.0, 0.01]
12	[0.44, 0.02, -0.07, 0.0, 0.0, 0.0, -1.0]	[0.14, -0.09, 0.83]	[0.17, -0.09, 0.82]	[-0.03, -0.0, 0.01]
13	[0.31, 0.01, -0.07, 0.0, 0.0, 0.0, -1.0]	[0.15, -0.09, 0.83]	[0.17, -0.09, 0.82]	[-0.02, 0.0, 0.01]
14	[0.2, -0.0, -0.07, 0.0, 0.0, 0.0, -1.0]	[0.16, -0.09, 0.83]	[0.17, -0.09, 0.82]	[-0.01, 0.0, 0.01]
15	[0.13, -0.0, -0.07, 0.0, 0.0, 0.0, -1.0]	[0.16, -0.09, 0.83]	[0.17, -0.09, 0.82]	[-0.01, 0.0, 0.01]
16	[0.07, -0.0, -0.07, 0.0, 0.0, 0.0, -1.0]	[0.17, -0.09, 0.83]	[0.17, -0.09, 0.82]	[-0.0, 0.0, 0.01]
17	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, -0.09, 0.83]	[0.17, -0.09, 0.82]	[-0.0, -0.0, 0.01]
