step	action	robot0_eef_pos	tool_pos	frame_pos	stand_pos
0	[-0.06, -0.19, -0.05, 0.01, 0.12, -0.01, -1.0]	[-0.11, -0.0, 1.01]	[0.04, -0.22, 0.84]	[-0.06, -0.25, 0.84]	[-0.08, 0.0, 0.88]
1	[-0.14, -0.38, -0.15, 0.02, 0.12, 0.01, -1.0]	[-0.11, -0.0, 1.01]	[0.04, -0.22, 0.83]	[-0.06, -0.25, 0.83]	[-0.08, 0.0, 0.88]
2	[-0.16, -0.54, -0.16, 0.02, 0.11, 0.04, -1.0]	[-0.11, -0.01, 1.0]	[0.04, -0.22, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
3	[-0.11, -0.65, -0.07, 0.02, 0.12, 0.07, -1.0]	[-0.12, -0.01, 1.0]	[0.04, -0.22, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
4	[-0.07, -0.87, -0.29, 0.02, 0.12, 0.11, -1.0]	[-0.12, -0.01, 1.0]	[0.04, -0.22, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
5	[-0.02, -0.98, -0.33, 0.01, 0.1, 0.15, -1.0]	[-0.12, -0.02, 1.0]	[0.04, -0.22, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
6	[0.15, -1.0, -0.09, -0.0, 0.13, 0.19, -1.0]	[-0.12, -0.03, 0.99]	[0.04, -0.22, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
7	[0.18, -1.0, -0.29, -0.03, 0.12, 0.24, -1.0]	[-0.12, -0.04, 0.99]	[0.04, -0.22, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
8	[0.26, -1.0, -0.44, -0.04, 0.1, 0.27, -1.0]	[-0.12, -0.06, 0.99]	[0.04, -0.22, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
9	[0.15, -0.97, -0.44, -0.05, 0.09, 0.29, -1.0]	[-0.12, -0.07, 0.98]	[0.04, -0.22, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
10	[0.18, -1.0, -0.5, -0.07, 0.08, 0.33, -1.0]	[-0.12, -0.08, 0.98]	[0.04, -0.22, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
11	[0.27, -0.92, -0.42, -0.1, 0.06, 0.38, -1.0]	[-0.11, -0.1, 0.97]	[0.04, -0.22, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
12	[0.23, -1.0, -0.42, -0.12, 0.06, 0.44, -1.0]	[-0.11, -0.11, 0.96]	[0.04, -0.22, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
13	[0.29, -0.89, -0.26, -0.12, 0.07, 0.48, -1.0]	[-0.11, -0.13, 0.96]	[0.04, -0.22, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
14	[0.06, -0.86, -0.61, -0.1, 0.08, 0.51, -1.0]	[-0.11, -0.14, 0.95]	[0.04, -0.22, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
15	[0.16, -0.69, -0.79, -0.07, 0.07, 0.53, -1.0]	[-0.1, -0.15, 0.95]	[0.04, -0.22, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
16	[-0.08, -0.54, -0.94, -0.04, 0.05, 0.53, -1.0]	[-0.1, -0.16, 0.94]	[0.04, -0.22, 0.81]	[-0.06, -0.25, 0.81]	[-0.08, 0.0, 0.88]
