step	subtask	stage
0	Move to above Cube A	0
1	Move to above Cube A	0
2	Move to above Cube A	0
3	Move to above Cube A	0
4	Move to above Cube A	0
5	Move to above Cube A	0
6	Move to above Cube A	0
7	Move to above Cube A	0
8	Move to above Cube A	0
9	Move to above Cube A	0
10	Move to above Cube A	0
11	Move to above Cube A	0
12	Move to above Cube A	0
13	Move to above Cube A	0
14	Move to above Cube A	0
15	Move to above Cube A	0
16	Move directly down to Cube A	1
17	Move directly down to Cube A	1
18	Move directly down to Cube A	1
19	Move directly down to Cube A	1
20	Move directly down to Cube A	1
21	Move directly down to Cube A	1
22	Move directly down to Cube A	1
23	Move directly down to Cube A	1
24	Move directly down to Cube A	1
25	Move directly down to Cube A	1
26	Move directly down to Cube A	1
27	Move directly down to Cube A	1
28	Grasp Cube A	2
29	Grasp Cube A	2
30	Vertically pick up Cube A	3
31	Vertically pick up Cube A	3
32	Vertically pick up Cube A	3
33	Vertically pick up Cube A	3
34	Vertically pick up Cube A	3
35	Vertically pick up Cube A	3
36	Vertically pick up Cube A	3
37	Vertically pick up Cube A	3
38	Vertically pick up Cube A	3
39	Vertically pick up Cube A	3
40	Vertically pick up Cube A	3
41	Vertically pick up Cube A	3
42	Vertically pick up Cube A	3
43	Vertically pick up Cube A	3
44	Align Cube A with Cube B	4
45	Align Cube A with Cube B	4
46	Align Cube A with Cube B	4
47	Align Cube A with Cube B	4
48	Align Cube A with Cube B	4
49	Align Cube A with Cube B	4
50	Align Cube A with Cube B	4
51	Align Cube A with Cube B	4
52	Align Cube A with Cube B	4
53	Align Cube A with Cube B	4
54	Align Cube A with Cube B	4
55	Align Cube A with Cube B	4
56	Align Cube A with Cube B	4
57	Align Cube A with Cube B	4
58	Align Cube A with Cube B	4
59	Align Cube A with Cube B	4
60	Align Cube A with Cube B	4
61	Move Cube A vertically down to Cube B	5
62	Move Cube A vertically down to Cube B	5
63	Move Cube A vertically down to Cube B	5
64	Move Cube A vertically down to Cube B	5
65	Move Cube A vertically down to Cube B	5
66	Move Cube A vertically down to Cube B	5
67	Release Cube A onto Cube B	6
68	Release Cube A onto Cube B	6
69	Release Cube A onto Cube B	6
70	Release Cube A onto Cube B	6
71	Return Home	7
72	Return Home	7
73	Return Home	7
74	Return Home	7
75	Return Home	7
76	Return Home	7
77	Return Home	7
78	Return Home	7
79	Return Home	7
