step	subtask	stage
0	Move to above Cube A	0
1	Move to above Cube A	0
2	Move to above Cube A	0
3	Move to above Cube A	0
4	Move to above Cube A	0
5	Move to above Cube A	0
6	Move to above Cube A	0
7	Move to above Cube A	0
8	Move to above Cube A	0
9	Move to above Cube A	0
10	Move to above Cube A	0
11	Move to above Cube A	0
12	Move to above Cube A	0
13	Move directly down to Cube A	1
14	Move directly down to Cube A	1
15	Move directly down to Cube A	1
16	Move directly down to Cube A	1
17	Move directly down to Cube A	1
18	Move directly down to Cube A	1
19	Move directly down to Cube A	1
20	Move directly down to Cube A	1
21	Move directly down to Cube A	1
22	Move directly down to Cube A	1
23	Move directly down to Cube A	1
24	Move directly down to Cube A	1
25	Move directly down to Cube A	1
26	Move directly down to Cube A	1
27	Move directly down to Cube A	1
28	Move directly down to Cube A	1
29	Move directly down to Cube A	1
30	Move directly down to Cube A	1
31	Move directly down to Cube A	1
32	Move directly down to Cube A	1
33	Move directly down to Cube A	1
34	Grasp Cube A	2
35	Grasp Cube A	2
36	Vertically pick up Cube A	3
37	Vertically pick up Cube A	3
38	Vertically pick up Cube A	3
39	Vertically pick up Cube A	3
40	Vertically pick up Cube A	3
41	Vertically pick up Cube A	3
42	Vertically pick up Cube A	3
43	Vertically pick up Cube A	3
44	Vertically pick up Cube A	3
45	Vertically pick up Cube A	3
46	Vertically pick up Cube A	3
47	Vertically pick up Cube A	3
48	Vertically pick up Cube A	3
49	Vertically pick up Cube A	3
50	Align Cube A with Cube B	4
51	Align Cube A with Cube B	4
52	Align Cube A with Cube B	4
53	Align Cube A with Cube B	4
54	Align Cube A with Cube B	4
55	Align Cube A with Cube B	4
56	Align Cube A with Cube B	4
57	Align Cube A with Cube B	4
58	Align Cube A with Cube B	4
59	Align Cube A with Cube B	4
60	Align Cube A with Cube B	4
61	Align Cube A with Cube B	4
62	Align Cube A with Cube B	4
63	Align Cube A with Cube B	4
64	Align Cube A with Cube B	4
65	Move Cube A vertically down to Cube B	5
66	Move Cube A vertically down to Cube B	5
67	Move Cube A vertically down to Cube B	5
68	Move Cube A vertically down to Cube B	5
69	Move Cube A vertically down to Cube B	5
70	Move Cube A vertically down to Cube B	5
71	Release Cube A onto Cube B	6
72	Release Cube A onto Cube B	6
73	Release Cube A onto Cube B	6
74	Release Cube A onto Cube B	6
75	Return Home	7
76	Return Home	7
77	Return Home	7
78	Return Home	7
79	Return Home	7
