step	action	robot0_eef_pos	nut0_pos	nut1_pos
0	[-0.12, 0.55, -0.44, 0.04, 0.19, -0.12, -1.0]	[-0.09, 0.01, 1.03]	[-0.11, 0.15, 0.89]	[10.0, 10.0, 10.0]
1	[-0.13, 0.68, -0.58, 0.03, 0.16, -0.1, -1.0]	[-0.09, 0.01, 1.02]	[-0.11, 0.15, 0.88]	[10.0, 10.0, 9.99]
2	[-0.18, 0.62, -0.73, 0.02, 0.13, -0.08, -1.0]	[-0.1, 0.02, 1.01]	[-0.11, 0.15, 0.84]	[10.0, 10.0, 9.95]
3	[-0.25, 0.76, -0.64, 0.01, 0.11, -0.08, -1.0]	[-0.1, 0.02, 1.0]	[-0.11, 0.15, 0.82]	[10.0, 10.0, 9.89]
4	[-0.21, 0.79, -0.57, -0.0, 0.1, -0.08, -1.0]	[-0.1, 0.03, 0.99]	[-0.11, 0.15, 0.83]	[10.0, 10.0, 9.81]
5	[-0.26, 0.79, -0.6, -0.02, 0.08, -0.09, -1.0]	[-0.1, 0.04, 0.99]	[-0.11, 0.15, 0.83]	[10.0, 10.0, 9.7]
6	[-0.3, 0.63, -0.53, -0.03, 0.08, -0.09, -1.0]	[-0.11, 0.04, 0.98]	[-0.11, 0.15, 0.83]	[10.0, 10.0, 9.58]
7	[-0.29, 0.49, -0.41, -0.03, 0.08, -0.07, -1.0]	[-0.11, 0.05, 0.97]	[-0.11, 0.15, 0.83]	[10.0, 10.0, 9.44]
8	[-0.32, 0.25, -0.2, -0.03, 0.08, -0.04, -1.0]	[-0.11, 0.06, 0.97]	[-0.11, 0.15, 0.83]	[10.0, 10.0, 9.28]
9	[-0.3, 0.39, -0.32, -0.04, 0.08, -0.03, -1.0]	[-0.12, 0.06, 0.96]	[-0.11, 0.15, 0.83]	[10.0, 10.0, 9.11]
10	[-0.26, 0.14, -0.34, -0.04, 0.06, -0.02, -1.0]	[-0.12, 0.07, 0.96]	[-0.11, 0.15, 0.83]	[10.0, 10.0, 8.93]
11	[-0.35, 0.36, -0.47, -0.04, 0.05, -0.01, -1.0]	[-0.13, 0.07, 0.95]	[-0.11, 0.15, 0.83]	[10.0, 10.0, 8.74]
12	[-0.49, 0.42, -0.58, -0.03, 0.05, -0.01, -1.0]	[-0.13, 0.07, 0.95]	[-0.11, 0.15, 0.83]	[10.0, 10.0, 8.54]
13	[-0.43, 0.39, -0.34, -0.02, 0.04, -0.02, -1.0]	[-0.13, 0.08, 0.94]	[-0.11, 0.15, 0.83]	[10.0, 10.0, 8.33]
14	[-0.45, 0.41, -0.38, -0.01, 0.04, -0.02, -1.0]	[-0.14, 0.09, 0.94]	[-0.11, 0.15, 0.83]	[10.0, 10.0, 8.12]
15	[-0.34, 0.36, -0.24, -0.01, 0.03, -0.03, -1.0]	[-0.15, 0.09, 0.93]	[-0.11, 0.15, 0.83]	[10.0, 10.0, 7.9]
16	[-0.24, 0.17, -0.16, -0.0, 0.03, -0.03, -1.0]	[-0.15, 0.1, 0.93]	[-0.11, 0.15, 0.83]	[10.01, 10.0, 7.67]
17	[-0.19, 0.33, -0.16, 0.0, 0.03, -0.04, -1.0]	[-0.15, 0.1, 0.93]	[-0.11, 0.15, 0.83]	[10.01, 10.0, 7.45]
18	[-0.12, 0.32, -0.12, -0.0, 0.03, -0.04, -1.0]	[-0.16, 0.1, 0.92]	[-0.11, 0.15, 0.83]	[10.01, 10.0, 7.22]
19	[-0.06, 0.38, -0.2, -0.01, 0.02, -0.05, -1.0]	[-0.16, 0.11, 0.92]	[-0.11, 0.15, 0.83]	[10.01, 10.0, 6.98]
20	[-0.01, 0.24, -0.2, -0.0, 0.02, -0.05, -1.0]	[-0.16, 0.11, 0.92]	[-0.11, 0.15, 0.83]	[10.02, 10.0, 6.75]
21	[-0.07, 0.27, -0.39, 0.0, 0.02, -0.05, -1.0]	[-0.17, 0.12, 0.92]	[-0.11, 0.15, 0.83]	[10.02, 10.0, 6.51]
22	[-0.01, 0.14, -0.34, 0.01, 0.01, -0.04, -1.0]	[-0.17, 0.12, 0.91]	[-0.11, 0.15, 0.83]	[10.03, 10.0, 6.27]
23	[-0.06, 0.14, -0.36, 0.02, 0.01, -0.03, -1.0]	[-0.17, 0.12, 0.91]	[-0.11, 0.15, 0.83]	[10.03, 10.0, 6.03]
24	[-0.1, 0.07, -0.28, 0.03, 0.0, -0.03, -1.0]	[-0.17, 0.13, 0.9]	[-0.11, 0.15, 0.83]	[10.04, 10.0, 5.79]
25	[-0.11, 0.2, -0.36, 0.03, 0.0, -0.03, -1.0]	[-0.17, 0.13, 0.9]	[-0.11, 0.15, 0.83]	[10.05, 10.0, 5.55]
26	[-0.14, 0.1, -0.35, 0.03, -0.0, -0.03, -1.0]	[-0.17, 0.13, 0.89]	[-0.11, 0.15, 0.83]	[10.05, 10.0, 5.3]
27	[-0.12, 0.26, -0.37, 0.03, -0.0, -0.03, -1.0]	[-0.17, 0.13, 0.89]	[-0.11, 0.15, 0.83]	[10.06, 10.0, 5.06]
28	[-0.09, 0.11, -0.24, 0.03, -0.01, -0.03, -1.0]	[-0.18, 0.14, 0.88]	[-0.11, 0.15, 0.83]	[10.07, 10.0, 4.82]
29	[-0.08, 0.12, -0.34, 0.02, -0.01, -0.03, -1.0]	[-0.18, 0.14, 0.88]	[-0.11, 0.15, 0.83]	[10.09, 10.0, 4.57]
30	[-0.0, -0.08, -0.22, 0.02, -0.02, -0.02, -1.0]	[-0.18, 0.14, 0.88]	[-0.11, 0.15, 0.83]	[10.1, 10.0, 4.33]
31	[-0.06, -0.0, -0.31, 0.02, -0.02, -0.02, -1.0]	[-0.18, 0.14, 0.87]	[-0.11, 0.15, 0.83]	[10.11, 10.0, 4.08]
32	[-0.06, 0.0, -0.21, 0.02, -0.02, -0.02, -1.0]	[-0.18, 0.14, 0.87]	[-0.11, 0.15, 0.83]	[10.13, 10.0, 3.84]
