step	action	robot0_eef_pos	tool_pos	frame_pos	stand_pos
0	[0.0, 0.0, 0.0, 0.0, 0.11, 0.08, -1.0]	[-0.11, -0.03, 1.01]	[0.05, -0.22, 0.84]	[-0.04, -0.22, 0.84]	[-0.08, 0.0, 0.88]
1	[-0.06, -0.52, -0.15, -0.0, 0.1, 0.06, -1.0]	[-0.11, -0.03, 1.01]	[0.05, -0.22, 0.83]	[-0.04, -0.22, 0.83]	[-0.08, 0.0, 0.88]
2	[-0.09, -0.3, -0.26, -0.01, 0.09, 0.07, -1.0]	[-0.11, -0.03, 1.01]	[0.05, -0.22, 0.81]	[-0.04, -0.22, 0.81]	[-0.08, 0.0, 0.88]
3	[-0.0, -0.72, -0.24, -0.01, 0.08, 0.08, -1.0]	[-0.11, -0.03, 1.01]	[0.05, -0.22, 0.81]	[-0.04, -0.22, 0.81]	[-0.08, 0.0, 0.88]
4	[-0.01, -0.85, -0.3, -0.01, 0.07, 0.1, -1.0]	[-0.11, -0.04, 1.0]	[0.05, -0.22, 0.81]	[-0.04, -0.22, 0.81]	[-0.08, 0.0, 0.88]
5	[-0.07, -0.47, -0.36, -0.01, 0.06, 0.11, -1.0]	[-0.11, -0.04, 1.0]	[0.05, -0.22, 0.81]	[-0.04, -0.22, 0.81]	[-0.08, 0.0, 0.88]
6	[-0.05, -0.52, -0.36, -0.02, 0.06, 0.12, -1.0]	[-0.11, -0.05, 0.99]	[0.05, -0.22, 0.81]	[-0.04, -0.22, 0.81]	[-0.08, 0.0, 0.88]
7	[-0.02, -0.94, -0.21, -0.03, 0.06, 0.14, -1.0]	[-0.11, -0.06, 0.99]	[0.05, -0.22, 0.81]	[-0.04, -0.22, 0.81]	[-0.08, 0.0, 0.88]
8	[0.1, -0.76, -0.4, -0.05, 0.06, 0.17, -1.0]	[-0.11, -0.07, 0.99]	[0.05, -0.22, 0.81]	[-0.04, -0.22, 0.81]	[-0.08, 0.0, 0.88]
9	[0.11, -0.82, -0.23, -0.07, 0.06, 0.19, -1.0]	[-0.11, -0.08, 0.98]	[0.05, -0.22, 0.81]	[-0.04, -0.22, 0.81]	[-0.08, 0.0, 0.88]
10	[0.18, -0.73, -0.44, -0.08, 0.07, 0.22, -1.0]	[-0.11, -0.09, 0.98]	[0.05, -0.22, 0.81]	[-0.04, -0.22, 0.81]	[-0.08, 0.0, 0.88]
11	[0.06, -0.93, -0.37, -0.08, 0.08, 0.25, -1.0]	[-0.11, -0.1, 0.97]	[0.05, -0.22, 0.81]	[-0.04, -0.22, 0.81]	[-0.08, 0.0, 0.88]
12	[0.16, -0.61, -0.48, -0.1, 0.08, 0.28, -1.0]	[-0.11, -0.11, 0.97]	[0.05, -0.22, 0.81]	[-0.04, -0.22, 0.81]	[-0.08, 0.0, 0.88]
13	[-0.14, -0.68, -0.37, -0.09, 0.07, 0.3, -1.0]	[-0.11, -0.12, 0.96]	[0.05, -0.22, 0.81]	[-0.04, -0.22, 0.81]	[-0.08, 0.0, 0.88]
14	[-0.01, -0.39, -0.6, -0.07, 0.06, 0.32, -1.0]	[-0.11, -0.13, 0.96]	[0.05, -0.22, 0.81]	[-0.04, -0.22, 0.81]	[-0.08, 0.0, 0.88]
15	[-0.12, -0.48, -0.4, -0.08, 0.06, 0.35, -1.0]	[-0.11, -0.14, 0.95]	[0.05, -0.22, 0.81]	[-0.04, -0.22, 0.81]	[-0.08, 0.0, 0.88]
16	[0.08, -0.28, -0.29, -0.07, 0.07, 0.37, -1.0]	[-0.11, -0.14, 0.94]	[0.05, -0.22, 0.81]	[-0.04, -0.22, 0.81]	[-0.08, 0.0, 0.88]
17	[0.06, -0.67, -0.5, -0.06, 0.07, 0.41, -1.0]	[-0.11, -0.15, 0.94]	[0.05, -0.22, 0.81]	[-0.04, -0.22, 0.81]	[-0.08, 0.0, 0.88]
18	[0.18, -0.28, -0.54, -0.03, 0.08, 0.42, -1.0]	[-0.11, -0.16, 0.93]	[0.05, -0.22, 0.81]	[-0.04, -0.22, 0.81]	[-0.08, 0.0, 0.88]
19	[-0.09, -0.58, -0.36, -0.02, 0.09, 0.44, -1.0]	[-0.11, -0.16, 0.93]	[0.05, -0.22, 0.81]	[-0.04, -0.22, 0.81]	[-0.08, 0.0, 0.88]
