step	action	robot0_eef_pos	nut0_pos	nut1_pos
0	[-0.0, -0.0, 0.0, -0.0, 0.05, -0.05, -1.0]	[-0.13, 0.01, 0.99]	[-0.11, 0.14, 0.89]	[10.0, 10.0, 10.0]
1	[0.0, 0.41, -0.28, -0.0, 0.06, -0.05, -1.0]	[-0.13, 0.01, 0.99]	[-0.11, 0.14, 0.88]	[10.0, 10.0, 9.99]
2	[0.02, 0.31, -0.27, 0.01, 0.06, -0.06, -1.0]	[-0.13, 0.01, 0.99]	[-0.11, 0.14, 0.84]	[10.0, 10.0, 9.95]
3	[-0.0, 0.5, -0.27, 0.04, 0.06, -0.08, -1.0]	[-0.13, 0.01, 0.99]	[-0.11, 0.14, 0.82]	[10.0, 10.0, 9.89]
4	[0.07, 0.65, -0.3, 0.05, 0.06, -0.11, -1.0]	[-0.13, 0.02, 0.98]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 9.81]
5	[0.17, 0.54, -0.47, 0.05, 0.05, -0.13, -1.0]	[-0.13, 0.02, 0.98]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 9.7]
6	[0.26, 0.62, -0.61, 0.04, 0.03, -0.15, -1.0]	[-0.13, 0.03, 0.97]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 9.58]
7	[0.36, 0.6, -0.67, 0.02, 0.01, -0.17, -1.0]	[-0.12, 0.04, 0.97]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 9.44]
8	[0.37, 0.51, -0.55, 0.0, -0.01, -0.19, -1.0]	[-0.12, 0.05, 0.96]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 9.28]
9	[0.38, 0.49, -0.49, -0.01, -0.01, -0.2, -1.0]	[-0.11, 0.05, 0.95]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 9.11]
10	[0.37, 0.31, -0.2, -0.01, -0.0, -0.21, -1.0]	[-0.11, 0.06, 0.94]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 8.93]
11	[0.37, 0.38, -0.34, -0.02, 0.01, -0.22, -1.0]	[-0.11, 0.06, 0.94]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 8.74]
12	[0.33, 0.22, -0.51, -0.02, -0.0, -0.23, -1.0]	[-0.1, 0.06, 0.93]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 8.54]
13	[0.39, 0.32, -0.49, -0.02, -0.01, -0.24, -1.0]	[-0.1, 0.07, 0.93]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 8.33]
14	[0.49, 0.33, -0.56, -0.02, -0.02, -0.25, -1.0]	[-0.09, 0.07, 0.92]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 8.12]
15	[0.5, 0.42, -0.57, -0.02, -0.04, -0.27, -1.0]	[-0.09, 0.07, 0.92]	[-0.11, 0.14, 0.83]	[10.0, 10.0, 7.9]
