step	subtask	stage
0	Move to above can	0
1	Move to above can	0
2	Move to above can	0
3	Move to above can	0
4	Move to above can	0
5	Move to above can	0
6	Move to above can	0
7	Move to above can	0
8	Move to above can	0
9	Move to above can	0
10	Move to above can	0
11	Move down to can	1
12	Move down to can	1
13	Move down to can	1
14	Move down to can	1
15	Move down to can	1
16	Move down to can	1
17	Move down to can	1
18	Move down to can	1
19	Move down to can	1
20	Move down to can	1
21	Move down to can	1
22	Move down to can	1
23	Move down to can	1
24	Move down to can	1
25	Move down to can	1
26	Move down to can	1
27	Move down to can	1
28	Move down to can	1
29	Move down to can	1
30	Move down to can	1
31	Move down to can	1
32	Move down to can	1
33	Move down to can	1
34	Move down to can	1
35	Move down to can	1
36	Move down to can	1
37	Move down to can	1
38	Move down to can	1
39	Move down to can	1
40	Move down to can	1
41	Move down to can	1
42	Move down to can	1
43	Move down to can	1
44	Move down to can	1
45	Move down to can	1
46	Move down to can	1
47	Move down to can	1
48	Move down to can	1
49	Move down to can	1
50	Move down to can	1
51	Move down to can	1
52	Move down to can	1
53	Move down to can	1
54	Move down to can	1
55	Move down to can	1
56	Move down to can	1
57	Move down to can	1
58	Move down to can	1
59	Move down to can	1
60	Move down to can	1
61	Move down to can	1
62	Move down to can	1
63	Move down to can	1
64	Move down to can	1
65	Move down to can	1
66	Move down to can	1
67	Move down to can	1
68	Move down to can	1
69	Move down to can	1
70	Move down to can	1
71	Move down to can	1
72	Move down to can	1
73	Move down to can	1
74	Move down to can	1
75	Move down to can	1
76	Move down to can	1
77	Move down to can	1
78	Move down to can	1
79	Move down to can	1
80	Move down to can	1
81	Move down to can	1
82	Move down to can	1
83	Move down to can	1
84	Move down to can	1
85	Move down to can	1
86	Move down to can	1
87	Move down to can	1
88	Move down to can	1
89	Move down to can	1
90	Move down to can	1
91	Move down to can	1
92	Move down to can	1
93	Move down to can	1
94	Move down to can	1
95	Move down to can	1
96	Move down to can	1
97	Move down to can	1
98	Move down to can	1
99	Move down to can	1
100	Move down to can	1
101	Move down to can	1
102	Move down to can	1
103	Move down to can	1
104	Move down to can	1
105	Move down to can	1
106	Move down to can	1
107	Move down to can	1
108	Move down to can	1
109	Move down to can	1
110	Move down to can	1
111	Move down to can	1
112	Move down to can	1
113	Move down to can	1
114	Move down to can	1
115	Move down to can	1
116	Move down to can	1
117	Move down to can	1
118	Move down to can	1
119	Move down to can	1
