step	action	robot0_eef_pos	cube_pos	gripper_to_cube_pos
0	[-0.41, -1.92, -1.93, 0.0, 0.0, 0.0, -1.0]	[-0.1, -0.02, 1.0]	[-0.14, -0.2, 0.82]	[0.04, 0.18, 0.18]
1	[-0.37, -1.78, -1.78, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.04, 0.98]	[-0.14, -0.2, 0.82]	[0.03, 0.16, 0.16]
2	[-0.33, -1.61, -1.58, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.05, 0.96]	[-0.14, -0.2, 0.82]	[0.03, 0.14, 0.14]
3	[-0.29, -1.45, -1.37, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.07, 0.94]	[-0.14, -0.2, 0.82]	[0.03, 0.13, 0.12]
4	[-0.25, -1.28, -1.16, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.09, 0.91]	[-0.14, -0.2, 0.82]	[0.02, 0.11, 0.09]
5	[-0.23, -1.11, -0.94, 0.0, 0.0, 0.0, -1.0]	[-0.12, -0.11, 0.89]	[-0.14, -0.2, 0.82]	[0.02, 0.09, 0.07]
6	[-0.2, -0.92, -0.73, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.13, 0.87]	[-0.14, -0.2, 0.82]	[0.02, 0.07, 0.05]
7	[-0.16, -0.72, -0.55, 0.0, 0.0, 0.0, -1.0]	[-0.13, -0.14, 0.86]	[-0.14, -0.2, 0.82]	[0.01, 0.05, 0.04]
8	[-0.09, -0.54, -0.4, 0.0, 0.0, 0.0, -1.0]	[-0.14, -0.16, 0.85]	[-0.14, -0.2, 0.82]	[0.0, 0.04, 0.03]
9	[-0.02, -0.39, -0.28, 0.0, 0.0, 0.0, -1.0]	[-0.15, -0.17, 0.84]	[-0.15, -0.2, 0.82]	[-0.0, 0.03, 0.02]
10	[0.02, -0.3, -0.23, 0.0, 0.0, 0.0, -1.0]	[-0.15, -0.19, 0.84]	[-0.15, -0.21, 0.82]	[-0.0, 0.02, 0.02]
11	[0.04, -0.24, -0.2, 0.0, 0.0, 0.0, -1.0]	[-0.16, -0.2, 0.83]	[-0.15, -0.22, 0.82]	[-0.01, 0.02, 0.01]
12	[0.06, -0.21, -0.13, 0.0, 0.0, 0.0, -1.0]	[-0.16, -0.21, 0.83]	[-0.15, -0.23, 0.82]	[-0.01, 0.02, 0.01]
13	[0.06, -0.17, -0.09, 0.0, 0.0, 0.0, -1.0]	[-0.16, -0.22, 0.83]	[-0.15, -0.23, 0.82]	[-0.01, 0.01, 0.01]
14	[0.05, -0.09, -0.07, 0.0, 0.0, 0.0, -1.0]	[-0.16, -0.23, 0.83]	[-0.15, -0.23, 0.82]	[-0.0, 0.0, 0.01]
