step	action	robot0_eef_pos	cube_pos	gripper_to_cube_pos
0	[-0.69, 1.02, -2.02, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.02, 1.01]	[-0.17, 0.11, 0.82]	[0.06, -0.09, 0.19]
1	[-0.61, 0.89, -1.88, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.04, 0.99]	[-0.17, 0.11, 0.82]	[0.05, -0.07, 0.17]
2	[-0.52, 0.74, -1.69, 0.0, 0.0, 0.0, -1.0]	[-0.12, 0.05, 0.97]	[-0.17, 0.11, 0.82]	[0.04, -0.06, 0.15]
3	[-0.44, 0.62, -1.5, 0.0, 0.0, 0.0, -1.0]	[-0.13, 0.06, 0.95]	[-0.17, 0.11, 0.82]	[0.04, -0.05, 0.13]
4	[-0.38, 0.53, -1.29, 0.0, 0.0, 0.0, -1.0]	[-0.13, 0.07, 0.93]	[-0.17, 0.11, 0.82]	[0.03, -0.04, 0.11]
5	[-0.33, 0.45, -1.09, 0.0, 0.0, 0.0, -1.0]	[-0.14, 0.07, 0.91]	[-0.17, 0.11, 0.82]	[0.03, -0.04, 0.09]
6	[-0.29, 0.37, -0.87, 0.0, 0.0, 0.0, -1.0]	[-0.14, 0.08, 0.89]	[-0.17, 0.11, 0.82]	[0.02, -0.03, 0.07]
7	[-0.23, 0.3, -0.67, 0.0, 0.0, 0.0, -1.0]	[-0.15, 0.09, 0.87]	[-0.17, 0.11, 0.82]	[0.01, -0.02, 0.05]
8	[-0.15, 0.21, -0.5, 0.0, 0.0, 0.0, -1.0]	[-0.16, 0.1, 0.86]	[-0.17, 0.11, 0.82]	[0.0, -0.01, 0.04]
9	[-0.05, 0.13, -0.35, 0.0, 0.0, 0.0, -1.0]	[-0.17, 0.11, 0.84]	[-0.17, 0.11, 0.82]	[-0.01, -0.0, 0.02]
10	[0.05, 0.04, -0.23, 0.0, 0.0, 0.0, -1.0]	[-0.18, 0.12, 0.84]	[-0.17, 0.11, 0.82]	[-0.01, 0.0, 0.01]
11	[0.13, -0.04, -0.15, 0.0, 0.0, 0.0, -1.0]	[-0.18, 0.12, 0.83]	[-0.17, 0.11, 0.82]	[-0.02, 0.01, 0.01]
12	[0.16, -0.11, -0.09, 0.0, 0.0, 0.0, -1.0]	[-0.18, 0.13, 0.83]	[-0.17, 0.11, 0.82]	[-0.02, 0.01, 0.01]
13	[0.17, -0.15, -0.05, 0.0, 0.0, 0.0, -1.0]	[-0.18, 0.13, 0.82]	[-0.17, 0.11, 0.82]	[-0.01, 0.02, 0.0]
14	[0.15, -0.16, -0.03, 0.0, 0.0, 0.0, -1.0]	[-0.18, 0.13, 0.82]	[-0.17, 0.11, 0.82]	[-0.01, 0.02, 0.0]
15	[0.12, -0.15, -0.02, 0.0, 0.0, 0.0, -1.0]	[-0.17, 0.13, 0.82]	[-0.17, 0.11, 0.82]	[-0.01, 0.01, 0.0]
16	[0.08, -0.13, -0.02, 0.0, 0.0, 0.0, -1.0]	[-0.17, 0.12, 0.82]	[-0.17, 0.11, 0.82]	[-0.01, 0.01, 0.0]
17	[0.05, -0.1, -0.02, 0.0, 0.0, 0.0, -1.0]	[-0.17, 0.12, 0.82]	[-0.17, 0.11, 0.82]	[-0.0, 0.01, 0.0]
18	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.12, 0.82]	[-0.17, 0.11, 0.82]	[-0.0, 0.01, 0.0]
19	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.12, 0.82]	[-0.17, 0.11, 0.82]	[-0.0, 0.0, 0.0]
20	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.83]	[-0.17, 0.11, 0.82]	[-0.0, 0.0, 0.0]
21	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.83]	[-0.17, 0.11, 0.83]	[-0.0, 0.0, 0.0]
22	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.84]	[-0.17, 0.11, 0.83]	[-0.0, 0.0, 0.0]
23	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.84]	[-0.17, 0.11, 0.84]	[-0.0, 0.0, 0.0]
24	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.85]	[-0.17, 0.11, 0.84]	[-0.0, 0.0, 0.0]
25	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.85]	[-0.17, 0.11, 0.85]	[-0.0, 0.0, 0.0]
26	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.86]	[-0.17, 0.11, 0.86]	[-0.0, 0.0, 0.0]
27	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.18, 0.11, 0.86]	[-0.17, 0.11, 0.86]	[-0.0, 0.0, 0.0]
