step	action	robot0_eef_pos	nut0_pos	nut1_pos
0	[0.0, 0.0, 0.0, 0.01, 0.12, -0.0, -1.0]	[-0.11, -0.01, 1.0]	[-0.11, 0.17, 0.89]	[10.0, 10.0, 10.0]
1	[-0.02, -0.06, -0.15, 0.01, 0.12, 0.02, -1.0]	[-0.11, -0.01, 1.0]	[-0.11, 0.17, 0.88]	[10.0, 10.0, 9.99]
2	[-0.12, -0.05, -0.25, 0.03, 0.11, 0.05, -1.0]	[-0.12, -0.01, 1.0]	[-0.11, 0.17, 0.84]	[10.0, 10.0, 9.95]
3	[-0.02, 0.08, -0.38, 0.04, 0.1, 0.09, -1.0]	[-0.12, -0.01, 1.0]	[-0.11, 0.17, 0.82]	[10.0, 10.0, 9.89]
4	[0.06, 0.18, -0.49, 0.03, 0.09, 0.13, -1.0]	[-0.12, -0.01, 1.0]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 9.81]
5	[0.06, 0.25, -0.33, 0.02, 0.09, 0.18, -1.0]	[-0.12, -0.0, 0.99]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 9.7]
6	[-0.03, 0.3, -0.36, 0.01, 0.09, 0.22, -1.0]	[-0.12, 0.0, 0.99]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 9.58]
7	[-0.09, 0.42, -0.33, 0.0, 0.08, 0.25, -1.0]	[-0.12, 0.0, 0.98]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 9.44]
8	[-0.26, 0.45, -0.52, 0.01, 0.05, 0.27, -1.0]	[-0.12, 0.01, 0.98]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 9.28]
9	[-0.12, 0.43, -0.3, 0.01, 0.04, 0.29, -1.0]	[-0.12, 0.01, 0.97]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 9.11]
10	[-0.2, 0.23, -0.35, 0.01, 0.05, 0.33, -1.0]	[-0.12, 0.02, 0.97]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 8.93]
11	[0.01, 0.26, -0.4, 0.0, 0.02, 0.36, -1.0]	[-0.12, 0.02, 0.96]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 8.74]
12	[-0.04, 0.07, -0.13, 0.01, 0.0, 0.38, -1.0]	[-0.12, 0.03, 0.96]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 8.54]
13	[0.02, 0.24, -0.08, 0.0, 0.01, 0.4, -1.0]	[-0.12, 0.03, 0.95]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 8.33]
14	[-0.06, 0.04, -0.09, 0.01, 0.01, 0.41, -1.0]	[-0.12, 0.03, 0.95]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 8.12]
15	[0.04, 0.22, -0.27, 0.01, 0.01, 0.41, -1.0]	[-0.12, 0.03, 0.95]	[-0.11, 0.17, 0.83]	[10.0, 10.0, 7.9]
16	[0.16, 0.17, -0.33, 0.01, 0.0, 0.41, -1.0]	[-0.12, 0.04, 0.95]	[-0.11, 0.17, 0.83]	[10.01, 10.0, 7.67]
17	[0.09, -0.03, -0.18, 0.01, 0.0, 0.41, -1.0]	[-0.12, 0.04, 0.94]	[-0.11, 0.17, 0.83]	[10.01, 10.0, 7.45]
18	[-0.02, 0.14, -0.36, 0.02, 0.01, 0.41, -1.0]	[-0.12, 0.04, 0.94]	[-0.11, 0.17, 0.83]	[10.01, 10.0, 7.22]
19	[-0.09, 0.3, -0.22, 0.02, 0.01, 0.38, -1.0]	[-0.12, 0.04, 0.94]	[-0.11, 0.17, 0.83]	[10.01, 10.0, 6.98]
20	[-0.22, 0.1, -0.17, 0.01, 0.02, 0.37, -1.0]	[-0.12, 0.04, 0.93]	[-0.11, 0.17, 0.83]	[10.02, 10.0, 6.75]
21	[-0.22, 0.35, -0.11, 0.01, 0.02, 0.34, -1.0]	[-0.12, 0.05, 0.93]	[-0.11, 0.17, 0.83]	[10.02, 10.0, 6.51]
22	[-0.14, 0.26, -0.16, 0.01, 0.02, 0.32, -1.0]	[-0.13, 0.05, 0.93]	[-0.11, 0.17, 0.83]	[10.03, 10.0, 6.27]
